Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(28, 339),     -0.44073,       -0.44073
(254, 339),     -0.44029,       -0.44029
(265, 381),     -0.44023,       -0.44023
(29, 46),     -0.44004,       -0.44004
(359, 386),     -0.43987,       -0.43987
(276, 296),     -0.43922,       -0.43922
(63, 265),     -0.43872,       -0.43872
(157, 296),     -0.43842,       -0.43842
(359, 387),     -0.43832,       -0.43832
(255, 300),     -0.43751,       -0.43751
(53, 265),     -0.4373,       -0.4373
(373, 417),     -0.43678,       -0.43678
(385, 466),     -0.43667,       -0.43667
(341, 390),     -0.43659,       -0.43659
(190, 339),     -0.43657,       -0.43657
(255, 256),     -0.4364,       -0.4364
(124, 130),     -0.43606,       -0.43606
(53, 159),     -0.43477,       -0.43477
(265, 384),     -0.43452,       -0.43452
(173, 293),     -0.4335,       -0.4335
(257, 259),     -0.43344,       -0.43344
(154, 265),     -0.43334,       -0.43334
(155, 265),     -0.43206,       -0.43206
(29, 159),     -0.43112,       -0.43112
(155, 380),     -0.431,       -0.431
(260, 300),     -0.43072,       -0.43072
(155, 374),     -0.43025,       -0.43025
(249, 382),     -0.42985,       -0.42985
(249, 362),     -0.42945,       -0.42945
(29, 63),     -0.42922,       -0.42922
(382, 388),     -0.42918,       -0.42918
(341, 466),     -0.42854,       -0.42854
(384, 466),     -0.42836,       -0.42836
(153, 339),     -0.42791,       -0.42791
(263, 467),     -0.42779,       -0.42779
(255, 398),     -0.42742,       -0.42742
(173, 265),     -0.42725,       -0.42725
(282, 383),     -0.42698,       -0.42698
(112, 255),     -0.42674,       -0.42674
(249, 341),     -0.42667,       -0.42667
(27, 63),     -0.42594,       -0.42594
(263, 385),     -0.4259,       -0.4259
(190, 285),     -0.42575,       -0.42575
(381, 388),     -0.42514,       -0.42514
(295, 353),     -0.42514,       -0.42514
(276, 282),     -0.42487,       -0.42487
(254, 256),     -0.42475,       -0.42475
(158, 296),     -0.4246,       -0.4246
(362, 388),     -0.4246,       -0.4246
(63, 161),     -0.42459,       -0.42459
(254, 417),     -0.42435,       -0.42435
(249, 463),     -0.42391,       -0.42391
(159, 293),     -0.42385,       -0.42385
(341, 373),     -0.42366,       -0.42366
(263, 382),     -0.42266,       -0.42266
(339, 381),     -0.42252,       -0.42252
(265, 341),     -0.422,       -0.422
(256, 390),     -0.42144,       -0.42144
(133, 265),     -0.42138,       -0.42138
(56, 253),     -0.42119,       -0.42119
(124, 265),     -0.42009,       -0.42009
(243, 265),     -0.41951,       -0.41951
(173, 295),     -0.41923,       -0.41923
(156, 246),     -0.41911,       -0.41911
(362, 387),     -0.41908,       -0.41908
(253, 339),     -0.41867,       -0.41867
(258, 359),     -0.41805,       -0.41805
(341, 388),     -0.41802,       -0.41802
(154, 380),     -0.41781,       -0.41781
(145, 254),     -0.4178,       -0.4178
(256, 373),     -0.4177,       -0.4177
(70, 157),     -0.41739,       -0.41739
(26, 255),     -0.41684,       -0.41684
(259, 385),     -0.41663,       -0.41663
(286, 293),     -0.41656,       -0.41656
(243, 256),     -0.41565,       -0.41565
(387, 467),     -0.41542,       -0.41542
(154, 255),     -0.41477,       -0.41477
(124, 157),     -0.41436,       -0.41436
(382, 387),     -0.41428,       -0.41428
(144, 265),     -0.41392,       -0.41392
(258, 385),     -0.4137,       -0.4137
(30, 63),     -0.4136,       -0.4136
(390, 463),     -0.41357,       -0.41357
(33, 46),     -0.41301,       -0.41301
(353, 414),     -0.41254,       -0.41254
(249, 414),     -0.41233,       -0.41233
(163, 265),     -0.41215,       -0.41215
(155, 373),     -0.41205,       -0.41205
(112, 373),     -0.41131,       -0.41131
(155, 341),     -0.41113,       -0.41113
(381, 387),     -0.41095,       -0.41095
(157, 276),     -0.41048,       -0.41048
(56, 334),     -0.41012,       -0.41012
(249, 256),     -0.41008,       -0.41008
(246, 265),     -0.40941,       -0.40941
(112, 265),     -0.40932,       -0.40932
(265, 385),     -0.40929,       -0.40929
(53, 160),     -0.40917,       -0.40917
(381, 466),     -0.40861,       -0.40861
(29, 160),     -0.40714,       -0.40714
(46, 265),     -0.40686,       -0.40686
(263, 463),     -0.40679,       -0.40679
(133, 374),     -0.40615,       -0.40615
(193, 373),     -0.40558,       -0.40558
(265, 386),     -0.40506,       -0.40506
(157, 254),     -0.40493,       -0.40493
(247, 265),     -0.40463,       -0.40463
(362, 386),     -0.4043,       -0.4043
(153, 265),     -0.40409,       -0.40409
(173, 283),     -0.40381,       -0.40381
(300, 353),     -0.40377,       -0.40377
(243, 380),     -0.40366,       -0.40366
(27, 254),     -0.40333,       -0.40333
(46, 247),     -0.40315,       -0.40315
(385, 387),     -0.40282,       -0.40282
(107, 265),     -0.40273,       -0.40273
(382, 390),     -0.40271,       -0.40271
(30, 161),     -0.4024,       -0.4024
(359, 466),     -0.40192,       -0.40192
(70, 124),     -0.40163,       -0.40163
(145, 265),     -0.40157,       -0.40157
(7, 70),     -0.40136,       -0.40136
(110, 265),     -0.40134,       -0.40134
(156, 157),     -0.4013,       -0.4013
(26, 265),     -0.40128,       -0.40128
(193, 265),     -0.40115,       -0.40115
(173, 243),     -0.4011,       -0.4011
(22, 254),     -0.40087,       -0.40087
(341, 387),     -0.40075,       -0.40075
(249, 398),     -0.40032,       -0.40032
(159, 334),     -0.39993,       -0.39993
(256, 466),     -0.39976,       -0.39976
(353, 388),     -0.39928,       -0.39928
(293, 359),     -0.39844,       -0.39844
(133, 373),     -0.39805,       -0.39805
(24, 265),     -0.39788,       -0.39788
(359, 382),     -0.39776,       -0.39776
(35, 265),     -0.39758,       -0.39758
(56, 296),     -0.39734,       -0.39734
(70, 265),     -0.39707,       -0.39707
(255, 414),     -0.3962,       -0.3962
(155, 463),     -0.39604,       -0.39604
(385, 386),     -0.39604,       -0.39604
(153, 341),     -0.39578,       -0.39578
(252, 255),     -0.39549,       -0.39549
(252, 253),     -0.39541,       -0.39541
(145, 253),     -0.39527,       -0.39527
(381, 390),     -0.39519,       -0.39519
(145, 252),     -0.39508,       -0.39508
(373, 381),     -0.39502,       -0.39502
(380, 388),     -0.39477,       -0.39477
(173, 276),     -0.39319,       -0.39319
(107, 353),     -0.393,       -0.393
(53, 158),     -0.39295,       -0.39295
(112, 374),     -0.39286,       -0.39286
(173, 282),     -0.39284,       -0.39284
(295, 384),     -0.39274,       -0.39274
(28, 296),     -0.39192,       -0.39192
(263, 341),     -0.39188,       -0.39188
(339, 463),     -0.39131,       -0.39131
(26, 256),     -0.39041,       -0.39041
(283, 359),     -0.39014,       -0.39014
(155, 255),     -0.39001,       -0.39001
(282, 286),     -0.38979,       -0.38979
(257, 353),     -0.38968,       -0.38968
(362, 385),     -0.38945,       -0.38945
