Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(27, 66),     -0.19423,       -0.19423
(27, 282),     -0.19421,       -0.19421
(285, 384),     -0.1939,       -0.1939
(257, 466),     -0.19375,       -0.19375
(22, 24),     -0.19359,       -0.19359
(253, 339),     -0.19325,       -0.19325
(159, 293),     -0.19282,       -0.19282
(144, 154),     -0.19263,       -0.19263
(27, 53),     -0.19216,       -0.19216
(161, 296),     -0.19199,       -0.19199
(63, 282),     -0.19108,       -0.19108
(383, 384),     -0.19072,       -0.19072
(63, 173),     -0.18987,       -0.18987
(158, 257),     -0.18986,       -0.18986
(112, 145),     -0.18972,       -0.18972
(283, 359),     -0.18932,       -0.18932
(339, 380),     -0.18912,       -0.18912
(29, 105),     -0.18813,       -0.18813
(157, 283),     -0.18803,       -0.18803
(159, 282),     -0.18751,       -0.18751
(105, 285),     -0.18693,       -0.18693
(276, 359),     -0.18692,       -0.18692
(27, 283),     -0.18687,       -0.18687
(28, 285),     -0.18644,       -0.18644
(160, 295),     -0.18604,       -0.18604
(259, 336),     -0.18547,       -0.18547
(130, 293),     -0.18525,       -0.18525
(105, 295),     -0.18442,       -0.18442
(7, 257),     -0.1839,       -0.1839
(161, 336),     -0.18388,       -0.18388
(339, 381),     -0.18388,       -0.18388
(246, 285),     -0.18382,       -0.18382
(33, 52),     -0.18379,       -0.18379
(29, 295),     -0.18343,       -0.18343
(157, 300),     -0.1833,       -0.1833
(258, 466),     -0.18314,       -0.18314
(160, 258),     -0.18224,       -0.18224
(384, 417),     -0.18149,       -0.18149
(353, 384),     -0.18141,       -0.18141
(7, 63),     -0.18119,       -0.18119
(33, 124),     -0.1809,       -0.1809
(133, 243),     -0.18062,       -0.18062
(158, 293),     -0.1801,       -0.1801
(258, 263),     -0.18001,       -0.18001
(160, 257),     -0.17998,       -0.17998
(29, 282),     -0.1799,       -0.1799
(65, 246),     -0.17961,       -0.17961
(7, 46),     -0.17789,       -0.17789
(70, 276),     -0.1777,       -0.1777
(130, 276),     -0.17739,       -0.17739
(158, 259),     -0.17695,       -0.17695
(7, 53),     -0.17689,       -0.17689
(53, 63),     -0.1764,       -0.1764
(255, 380),     -0.17602,       -0.17602
(252, 339),     -0.17591,       -0.17591
(252, 362),     -0.17568,       -0.17568
(65, 70),     -0.17567,       -0.17567
(63, 283),     -0.17482,       -0.17482
(163, 300),     -0.17459,       -0.17459
(160, 334),     -0.17437,       -0.17437
(293, 467),     -0.17419,       -0.17419
(260, 282),     -0.17406,       -0.17406
(285, 295),     -0.1739,       -0.1739
(33, 70),     -0.17371,       -0.17371
(105, 296),     -0.1736,       -0.1736
(157, 276),     -0.17354,       -0.17354
(159, 259),     -0.17312,       -0.17312
(30, 52),     -0.17305,       -0.17305
(257, 295),     -0.17305,       -0.17305
(285, 387),     -0.17298,       -0.17298
(70, 353),     -0.17286,       -0.17286
(161, 285),     -0.17269,       -0.17269
(53, 173),     -0.1725,       -0.1725
(145, 153),     -0.1725,       -0.1725
(29, 417),     -0.17227,       -0.17227
(53, 295),     -0.17225,       -0.17225
(70, 163),     -0.17223,       -0.17223
(105, 282),     -0.17184,       -0.17184
(53, 282),     -0.17162,       -0.17162
(25, 334),     -0.1716,       -0.1716
