Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(33, 190),     -0.28219,       -0.28219
(259, 341),     -0.282,       -0.282
(386, 398),     -0.28151,       -0.28151
(252, 259),     -0.28093,       -0.28093
(295, 414),     -0.28067,       -0.28067
(27, 145),     -0.28047,       -0.28047
(257, 341),     -0.27985,       -0.27985
(259, 362),     -0.2792,       -0.2792
(259, 463),     -0.27784,       -0.27784
(27, 163),     -0.27735,       -0.27735
(52, 153),     -0.27726,       -0.27726
(334, 390),     -0.27677,       -0.27677
(22, 33),     -0.27674,       -0.27674
(256, 257),     -0.27672,       -0.27672
(257, 362),     -0.27642,       -0.27642
(296, 341),     -0.27641,       -0.27641
(380, 388),     -0.27631,       -0.27631
(7, 145),     -0.2763,       -0.2763
(257, 373),     -0.27571,       -0.27571
(362, 386),     -0.27454,       -0.27454
(341, 386),     -0.2745,       -0.2745
(145, 163),     -0.27348,       -0.27348
(23, 33),     -0.27347,       -0.27347
(29, 133),     -0.27262,       -0.27262
(25, 190),     -0.27197,       -0.27197
(382, 388),     -0.27188,       -0.27188
(7, 30),     -0.2715,       -0.2715
(414, 463),     -0.27133,       -0.27133
(256, 334),     -0.27116,       -0.27116
(384, 463),     -0.27111,       -0.27111
(295, 341),     -0.27045,       -0.27045
(22, 25),     -0.27025,       -0.27025
(381, 388),     -0.27021,       -0.27021
(249, 466),     -0.26839,       -0.26839
(158, 163),     -0.26679,       -0.26679
(23, 160),     -0.26661,       -0.26661
(256, 387),     -0.26603,       -0.26603
(256, 295),     -0.26537,       -0.26537
(359, 390),     -0.26488,       -0.26488
(53, 144),     -0.26479,       -0.26479
(7, 173),     -0.26441,       -0.26441
(157, 163),     -0.2643,       -0.2643
(398, 463),     -0.26364,       -0.26364
(25, 243),     -0.26362,       -0.26362
(144, 163),     -0.26355,       -0.26355
(252, 260),     -0.26312,       -0.26312
(159, 173),     -0.26294,       -0.26294
