Comparing the following files: 
kelly_front_s3_v2/,  kelly_low_s3_v2/,  kelly_right_threequarter_s3_v2/,  kelly_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s3_v2_vs_kelly_low_s3_v2,  kelly_front_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_front_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_right_threequarter_s3_v2_vs_kelly_left_threequarter_s3_v2,  average
(385, 463),     0.83646,       0.76467,       0.66917,       0.75277,       0.58325,       0.81409,       0.73673
(153, 157),     0.86226,       0.80314,       0.53323,       0.80854,       0.6006,       0.8118,       0.73659
(112, 190),     0.83747,       0.74875,       0.58864,       0.80779,       0.65411,       0.7828,       0.73659
(257, 341),     0.75236,       0.74565,       0.77372,       0.77662,       0.59627,       0.77466,       0.73655
(144, 158),     0.80505,       0.79137,       0.58395,       0.77836,       0.5997,       0.86046,       0.73648
(384, 398),     0.81166,       0.76904,       0.66504,       0.74818,       0.56162,       0.86298,       0.73642
(256, 388),     0.78003,       0.75777,       0.66569,       0.77865,       0.63142,       0.80318,       0.73612
(258, 463),     0.80255,       0.75364,       0.75352,       0.75029,       0.58146,       0.77441,       0.73598
(253, 385),     0.91211,       0.80003,       0.54268,       0.77868,       0.54317,       0.83912,       0.73597
(373, 388),     0.89169,       0.79469,       0.59643,       0.78491,       0.55483,       0.79221,       0.73579
(155, 173),     0.85707,       0.74343,       0.51712,       0.80628,       0.64461,       0.846,       0.73575
(380, 386),     0.84583,       0.78364,       0.59501,       0.77176,       0.55823,       0.85833,       0.73547
(252, 384),     0.91574,       0.8143,       0.53321,       0.78421,       0.55598,       0.80783,       0.73521
(252, 388),     0.83776,       0.77774,       0.63866,       0.77849,       0.58875,       0.78884,       0.73504
(258, 362),     0.77558,       0.77222,       0.75254,       0.75439,       0.56628,       0.78824,       0.73488
(362, 398),     0.88656,       0.74607,       0.56812,       0.7615,       0.56812,       0.87882,       0.73486
(23, 27),     0.69786,       0.72883,       0.61071,       0.85037,       0.68678,       0.83365,       0.7347
(381, 386),     0.77361,       0.76819,       0.64246,       0.76468,       0.58734,       0.87166,       0.73466
(25, 33),     0.9366,       0.72734,       0.56357,       0.75598,       0.62878,       0.79415,       0.7344
(382, 385),     0.7922,       0.76457,       0.64409,       0.7538,       0.57459,       0.87716,       0.7344
(160, 163),     0.85729,       0.77869,       0.56607,       0.7745,       0.56724,       0.86214,       0.73432
(286, 362),     0.80221,       0.81459,       0.69822,       0.7636,       0.54293,       0.78336,       0.73415
(254, 387),     0.91627,       0.77978,       0.54056,       0.78754,       0.53795,       0.8424,       0.73408
(339, 466),     0.91272,       0.77655,       0.54503,       0.80142,       0.55,       0.81774,       0.73391
(22, 56),     0.76898,       0.78506,       0.59493,       0.80649,       0.6797,       0.76457,       0.73329
(341, 387),     0.81285,       0.77006,       0.64921,       0.78065,       0.6029,       0.78261,       0.73305
(258, 380),     0.73655,       0.81681,       0.68752,       0.76681,       0.60964,       0.77925,       0.73276
(254, 388),     0.91368,       0.77913,       0.54885,       0.79655,       0.54507,       0.81273,       0.73267
(382, 386),     0.73279,       0.74811,       0.68687,       0.75924,       0.60128,       0.86713,       0.73257
(254, 386),     0.90161,       0.78498,       0.53631,       0.77849,       0.53528,       0.8478,       0.73075
(23, 29),     0.73296,       0.74954,       0.58614,       0.84191,       0.66356,       0.81023,       0.73072
(390, 466),     0.89075,       0.79624,       0.60563,       0.78303,       0.55338,       0.75194,       0.73016
(374, 388),     0.82927,       0.79154,       0.6479,       0.77169,       0.56845,       0.77131,       0.73003
(256, 257),     0.71943,       0.74997,       0.75501,       0.79112,       0.57951,       0.78354,       0.72976
(26, 161),     0.94269,       0.81893,       0.56697,       0.78552,       0.53447,       0.72906,       0.72961
(382, 384),     0.83028,       0.76773,       0.58119,       0.7666,       0.55546,       0.87295,       0.72903
(380, 385),     0.86899,       0.79208,       0.55155,       0.77581,       0.53716,       0.84846,       0.72901
(381, 385),     0.81988,       0.77778,       0.58925,       0.76548,       0.55452,       0.86564,       0.72876
(29, 243),     0.84016,       0.78643,       0.58432,       0.77786,       0.59833,       0.78383,       0.72849
(253, 388),     0.87885,       0.78267,       0.58783,       0.78868,       0.55503,       0.77647,       0.72825
(381, 384),     0.86122,       0.79698,       0.53527,       0.78307,       0.54721,       0.8432,       0.72782
(374, 386),     0.86668,       0.78399,       0.55566,       0.77616,       0.53851,       0.84534,       0.72772
(256, 286),     0.79985,       0.83266,       0.6561,       0.7659,       0.55579,       0.74505,       0.72589
(27, 133),     0.77296,       0.72181,       0.58135,       0.81609,       0.63452,       0.82748,       0.7257
(27, 145),     0.69093,       0.74632,       0.58677,       0.83297,       0.65917,       0.83666,       0.72547
(380, 388),     0.72744,       0.76268,       0.697,       0.75416,       0.60318,       0.80825,       0.72545
(25, 160),     0.85949,       0.73982,       0.58058,       0.7308,       0.56627,       0.87462,       0.72526
(33, 110),     0.92551,       0.75358,       0.55821,       0.74935,       0.59029,       0.77131,       0.72471
(23, 28),     0.68441,       0.72913,       0.61572,       0.82201,       0.69623,       0.79994,       0.72457
(373, 387),     0.8613,       0.78248,       0.55459,       0.77987,       0.53485,       0.82979,       0.72381
(257, 380),     0.69194,       0.77286,       0.73027,       0.78865,       0.5772,       0.78161,       0.72376
(339, 388),     0.90928,       0.77823,       0.51332,       0.78995,       0.52282,       0.82803,       0.72361
(29, 145),     0.72004,       0.76612,       0.56343,       0.82584,       0.64146,       0.82383,       0.72345
(29, 133),     0.80542,       0.75757,       0.56381,       0.79579,       0.61687,       0.79952,       0.72316
(374, 385),     0.85467,       0.80302,       0.53871,       0.77186,       0.54337,       0.82606,       0.72295
(144, 246),     0.91017,       0.83554,       0.55284,       0.77527,       0.52696,       0.73662,       0.7229
(385, 398),     0.73046,       0.75225,       0.70402,       0.73859,       0.57192,       0.83438,       0.72194
(380, 384),     0.86607,       0.82034,       0.52052,       0.77509,       0.55583,       0.7931,       0.72182
(160, 243),     0.92001,       0.80805,       0.59988,       0.7568,       0.52216,       0.72243,       0.72155
(257, 362),     0.72909,       0.74608,       0.78384,       0.75558,       0.57145,       0.74284,       0.72148
(56, 190),     0.78707,       0.73289,       0.62829,       0.77367,       0.58949,       0.81324,       0.72078
(252, 258),     0.7431,       0.80011,       0.69229,       0.77543,       0.57913,       0.73108,       0.72019
(254, 385),     0.88511,       0.79887,       0.51411,       0.7679,       0.52979,       0.82062,       0.7194
(259, 381),     0.67124,       0.73021,       0.77418,       0.77472,       0.61259,       0.75124,       0.71903
(28, 133),     0.75615,       0.69477,       0.5931,       0.81254,       0.63773,       0.81793,       0.7187
(362, 386),     0.74693,       0.75238,       0.678,       0.75852,       0.57313,       0.80109,       0.71834
(56, 133),     0.75417,       0.69696,       0.60955,       0.80832,       0.6355,       0.80389,       0.71807
(23, 246),     0.9441,       0.79355,       0.55095,       0.77322,       0.55067,       0.69416,       0.71778
(339, 387),     0.87336,       0.7789,       0.52769,       0.7723,       0.50808,       0.84017,       0.71675
(159, 163),     0.74112,       0.77605,       0.58124,       0.7689,       0.57467,       0.85489,       0.71615
(7, 161),     0.80464,       0.77753,       0.53647,       0.7761,       0.55916,       0.83847,       0.7154
(22, 30),     0.82535,       0.81165,       0.53774,       0.80632,       0.58971,       0.71819,       0.71483
(388, 390),     0.85162,       0.7761,       0.54059,       0.78233,       0.52647,       0.80554,       0.71377
(56, 153),     0.75357,       0.80293,       0.55918,       0.77311,       0.64172,       0.74993,       0.71341
(414, 463),     0.85324,       0.75757,       0.63053,       0.75242,       0.5153,       0.76935,       0.71307
(28, 145),     0.6761,       0.75397,       0.58948,       0.7952,       0.65609,       0.80136,       0.71203
(160, 173),     0.85437,       0.81237,       0.62102,       0.73796,       0.54203,       0.70398,       0.71196
(27, 190),     0.77528,       0.75806,       0.58187,       0.76037,       0.59458,       0.80101,       0.71186
(24, 157),     0.78683,       0.78466,       0.57143,       0.75705,       0.5848,       0.78386,       0.71144
(26, 30),     0.85645,       0.82733,       0.52867,       0.79443,       0.55894,       0.69981,       0.71094
(382, 398),     0.82442,       0.75371,       0.48929,       0.76887,       0.57518,       0.84542,       0.70948
(30, 154),     0.83428,       0.83681,       0.51982,       0.78242,       0.56144,       0.72044,       0.7092
(252, 257),     0.68545,       0.75298,       0.73021,       0.79461,       0.55972,       0.73153,       0.70908
(254, 466),     0.86762,       0.75299,       0.56383,       0.79267,       0.53613,       0.73762,       0.70848
(154, 161),     0.87225,       0.84683,       0.58713,       0.75644,       0.53098,       0.65615,       0.7083
(30, 153),     0.80945,       0.83046,       0.51313,       0.79228,       0.56733,       0.73376,       0.70774
(373, 386),     0.79444,       0.78276,       0.53301,       0.76815,       0.53748,       0.82868,       0.70742
(28, 190),     0.75603,       0.71634,       0.59139,       0.76636,       0.59907,       0.81045,       0.70661
(24, 29),     0.65589,       0.69984,       0.58518,       0.83614,       0.66203,       0.79982,       0.70648
(24, 27),     0.60471,       0.68531,       0.6138,       0.836,       0.67884,       0.81829,       0.70616
(257, 463),     0.75453,       0.73555,       0.73948,       0.74904,       0.56466,       0.6894,       0.70544
(253, 384),     0.87339,       0.81571,       0.49275,       0.75544,       0.54823,       0.74542,       0.70516
(30, 155),     0.83247,       0.81236,       0.5495,       0.75067,       0.56141,       0.72043,       0.70447
(145, 157),     0.76351,       0.8157,       0.51387,       0.76903,       0.57908,       0.78412,       0.70422
(23, 30),     0.77887,       0.77657,       0.53451,       0.80488,       0.60686,       0.7203,       0.70366
(258, 414),     0.74931,       0.74139,       0.74986,       0.72806,       0.57365,       0.67825,       0.70342
(112, 161),     0.91121,       0.81091,       0.57539,       0.75535,       0.50073,       0.65756,       0.70186
(256, 259),     0.65874,       0.70402,       0.75914,       0.78243,       0.59497,       0.7091,       0.7014
(249, 466),     0.84303,       0.76823,       0.5139,       0.77698,       0.51508,       0.7874,       0.70077
(259, 380),     0.63978,       0.72048,       0.75385,       0.77681,       0.58191,       0.73077,       0.7006
(339, 386),     0.81833,       0.78004,       0.51761,       0.75081,       0.50106,       0.83467,       0.70042
(30, 145),     0.75663,       0.80598,       0.5154,       0.78866,       0.57899,       0.75205,       0.69962
(257, 374),     0.64302,       0.75537,       0.69481,       0.78492,       0.56646,       0.73351,       0.69635
(7, 110),     0.89674,       0.66033,       0.57021,       0.65333,       0.61157,       0.77594,       0.69469
(30, 112),     0.83769,       0.80897,       0.53763,       0.7507,       0.54089,       0.69199,       0.69464
(373, 466),     0.78588,       0.7809,       0.63618,       0.73418,       0.54028,       0.68791,       0.69422
(29, 144),     0.61571,       0.72117,       0.55835,       0.81666,       0.63628,       0.80665,       0.69247
(256, 398),     0.87725,       0.76648,       0.4589,       0.75011,       0.58783,       0.70956,       0.69169
(26, 173),     0.89195,       0.77701,       0.45648,       0.80314,       0.54236,       0.67803,       0.6915
(27, 144),     0.57311,       0.71223,       0.58782,       0.81257,       0.64746,       0.81293,       0.69102
(155, 161),     0.85282,       0.82341,       0.60366,       0.72772,       0.51945,       0.61411,       0.6902
(24, 30),     0.7209,       0.72473,       0.52774,       0.80479,       0.62526,       0.73437,       0.68963
(259, 382),     0.7057,       0.72355,       0.71945,       0.76593,       0.568,       0.64731,       0.68832
(25, 159),     0.72486,       0.73011,       0.56358,       0.70557,       0.54901,       0.85458,       0.68795
(258, 374),     0.68312,       0.79349,       0.61118,       0.74002,       0.60231,       0.69542,       0.68759
(157, 158),     0.79365,       0.73192,       0.58084,       0.70362,       0.52857,       0.7866,       0.68753
(24, 28),     0.56912,       0.68499,       0.61903,       0.78181,       0.68533,       0.77262,       0.68548
(373, 385),     0.73666,       0.78944,       0.49033,       0.7466,       0.54779,       0.79386,       0.68411
(387, 390),     0.72712,       0.75639,       0.51623,       0.76588,       0.51937,       0.81797,       0.68383
(253, 257),     0.62059,       0.72638,       0.69951,       0.78897,       0.56057,       0.70602,       0.68367
(263, 339),     0.83298,       0.67442,       0.60566,       0.77057,       0.53776,       0.6688,       0.6817
(25, 130),     0.80637,       0.69675,       0.58753,       0.73663,       0.5719,       0.68505,       0.68071
(155, 190),     0.80468,       0.75854,       0.5282,       0.69965,       0.61356,       0.67796,       0.68043
(30, 160),     0.94228,       0.6759,       0.466,       0.67689,       0.47947,       0.84007,       0.6801
(253, 466),     0.78272,       0.73071,       0.5948,       0.77031,       0.53543,       0.65891,       0.67881
(382, 387),     0.67558,       0.72756,       0.61407,       0.77066,       0.55366,       0.73073,       0.67871
(30, 144),     0.66541,       0.75132,       0.5021,       0.78854,       0.59222,       0.7627,       0.67705
(29, 190),     0.76341,       0.78155,       0.55986,       0.69421,       0.54633,       0.71248,       0.67631
(23, 56),     0.65195,       0.75178,       0.57437,       0.70823,       0.66524,       0.70502,       0.6761
(22, 246),     0.92178,       0.77073,       0.5449,       0.73731,       0.49836,       0.56704,       0.67335
(253, 258),     0.68016,       0.77588,       0.61571,       0.73834,       0.5753,       0.65085,       0.67271
