Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(23, 386),     0.59866,       0.62939,       0.47514,       0.62798,       0.48623,       0.36425,       0.53028
(158, 173),     0.77432,       0.42603,       0.54523,       0.41763,       0.62115,       0.39662,       0.53016
(25, 381),     0.61756,       0.59194,       0.32471,       0.78202,       0.43358,       0.42972,       0.52992
(24, 362),     0.51423,       0.58491,       0.45678,       0.69862,       0.52152,       0.40161,       0.52961
(110, 259),     0.5351,       0.72388,       0.53172,       0.40876,       0.45354,       0.51681,       0.5283
(7, 384),     0.62898,       0.51848,       0.34489,       0.75622,       0.52765,       0.39135,       0.52793
(56, 130),     0.69885,       0.61962,       0.53307,       0.58917,       0.38205,       0.34357,       0.52772
(110, 341),     0.56559,       0.57168,       0.35659,       0.79818,       0.45925,       0.41398,       0.52755
(163, 257),     0.61584,       0.66059,       0.47863,       0.49375,       0.46731,       0.44881,       0.52749
(246, 257),     0.69979,       0.51165,       0.3944,       0.61777,       0.49461,       0.4453,       0.52725
(7, 157),     0.62919,       0.69189,       0.48501,       0.6217,       0.47437,       0.25883,       0.52683
(107, 130),     0.45996,       0.53868,       0.62981,       0.65299,       0.42148,       0.4565,       0.52657
(24, 145),     0.66567,       0.71174,       0.37779,       0.62235,       0.42567,       0.35572,       0.52649
(145, 286),     0.6479,       0.61064,       0.60737,       0.39047,       0.49,       0.41138,       0.52629
(24, 256),     0.51155,       0.56843,       0.42953,       0.762,       0.43504,       0.44561,       0.52536
(35, 384),     0.78765,       0.55547,       0.44327,       0.6656,       0.43583,       0.26114,       0.52483
(33, 385),     0.65418,       0.49913,       0.32186,       0.76005,       0.49538,       0.41794,       0.52476
(124, 258),     0.65925,       0.55024,       0.46515,       0.68861,       0.36522,       0.4201,       0.52476
(246, 293),     0.48068,       0.6345,       0.52429,       0.58671,       0.41166,       0.50943,       0.52455
(7, 259),     0.58403,       0.61195,       0.41902,       0.55734,       0.49415,       0.47972,       0.52437
(247, 296),     0.58366,       0.69304,       0.51997,       0.58015,       0.31076,       0.4583,       0.52431
(25, 380),     0.58959,       0.56969,       0.36991,       0.74012,       0.41167,       0.46192,       0.52382
(33, 157),     0.58588,       0.6577,       0.52141,       0.59913,       0.45461,       0.32287,       0.5236
(22, 285),     0.44357,       0.8104,       0.63112,       0.47031,       0.22863,       0.55164,       0.52261
(23, 380),     0.44577,       0.60851,       0.55823,       0.60246,       0.45584,       0.46301,       0.5223
(35, 285),     0.72084,       0.47232,       0.58658,       0.61587,       0.41675,       0.32098,       0.52222
(145, 414),     0.54078,       0.59147,       0.56195,       0.53954,       0.50615,       0.39127,       0.52186
(130, 386),     0.62922,       0.55371,       0.31848,       0.72138,       0.4417,       0.4657,       0.5217
(33, 293),     0.47207,       0.68379,       0.50956,       0.57593,       0.39111,       0.49325,       0.52095
(155, 158),     0.76469,       0.58693,       0.37642,       0.5929,       0.51327,       0.29036,       0.52076
(130, 259),     0.60649,       0.67153,       0.35176,       0.59247,       0.40306,       0.49746,       0.52046
(144, 336),     0.42411,       0.78004,       0.60579,       0.49621,       0.27947,       0.52954,       0.51919
(145, 384),     0.57117,       0.48705,       0.49185,       0.63402,       0.53026,       0.39536,       0.51828
(24, 257),     0.5304,       0.74041,       0.56826,       0.3626,       0.4148,       0.49308,       0.51826
(157, 285),     0.66135,       0.75744,       0.36669,       0.78987,       0.16544,       0.36726,       0.51801
(161, 258),     0.67994,       0.4557,       0.42357,       0.60523,       0.52812,       0.40559,       0.51636
(7, 414),     0.61827,       0.57171,       0.35594,       0.69083,       0.50925,       0.35074,       0.51612
(25, 260),     0.49373,       0.68204,       0.44438,       0.50267,       0.45293,       0.52099,       0.51612
(25, 282),     0.54941,       0.77525,       0.53511,       0.43219,       0.31987,       0.48366,       0.51592
(145, 258),     0.5814,       0.69981,       0.58659,       0.37496,       0.40486,       0.44715,       0.5158
(130, 384),     0.6577,       0.57295,       0.23668,       0.77839,       0.42019,       0.42793,       0.51564
(158, 296),     0.49769,       0.76337,       0.52163,       0.64042,       0.20288,       0.46691,       0.51548
(130, 282),     0.60232,       0.76839,       0.4578,       0.5185,       0.29737,       0.44621,       0.5151
(163, 386),     0.56725,       0.53881,       0.37301,       0.68369,       0.53924,       0.38777,       0.51496
(7, 386),     0.56532,       0.51947,       0.35452,       0.71307,       0.53338,       0.40029,       0.51434
(110, 296),     0.41593,       0.79081,       0.60716,       0.44981,       0.27578,       0.54603,       0.51425
