Comparing the following files: 
kelly_front_s31_v2/,  kelly_front_s32_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s31_v2_vs_kelly_front_s32_v2,  average
(27, 55),     0.02456,       0.02456
(260, 336),     0.02526,       0.02526
(259, 336),     0.02575,       0.02575
(362, 463),     0.02724,       0.02724
(295, 336),     0.02753,       0.02753
(260, 414),     0.02994,       0.02994
(249, 334),     0.03206,       0.03206
(336, 467),     0.03825,       0.03825
(255, 293),     0.03846,       0.03846
(334, 398),     0.03861,       0.03861
(258, 334),     0.04051,       0.04051
(260, 359),     0.04104,       0.04104
(130, 336),     0.04262,       0.04262
(260, 285),     0.04278,       0.04278
(28, 55),     0.04289,       0.04289
(259, 417),     0.04368,       0.04368
(336, 383),     0.04431,       0.04431
(334, 353),     0.04434,       0.04434
(257, 359),     0.04525,       0.04525
(263, 293),     0.04535,       0.04535
(33, 336),     0.04538,       0.04538
(414, 467),     0.04688,       0.04688
(155, 417),     0.04867,       0.04867
(258, 398),     0.04925,       0.04925
(384, 390),     0.04961,       0.04961
(7, 417),     0.05098,       0.05098
(300, 467),     0.05336,       0.05336
(336, 359),     0.05427,       0.05427
(265, 336),     0.05435,       0.05435
(263, 300),     0.05446,       0.05446
(255, 283),     0.05531,       0.05531
(265, 285),     0.05585,       0.05585
(163, 417),     0.0562,       0.0562
(257, 260),     0.05662,       0.05662
(255, 286),     0.05671,       0.05671
(247, 285),     0.05677,       0.05677
(295, 359),     0.05758,       0.05758
(257, 417),     0.05851,       0.05851
(260, 398),     0.06172,       0.06172
(257, 285),     0.06225,       0.06225
(246, 285),     0.06232,       0.06232
(255, 257),     0.06351,       0.06351
(285, 414),     0.06378,       0.06378
(259, 282),     0.06413,       0.06413
(29, 247),     0.06417,       0.06417
(63, 247),     0.0648,       0.0648
(359, 467),     0.06519,       0.06519
(257, 296),     0.06624,       0.06624
(295, 467),     0.06637,       0.06637
(276, 295),     0.0667,       0.0667
(260, 295),     0.06716,       0.06716
(249, 296),     0.06803,       0.06803
(263, 334),     0.06883,       0.06883
(257, 398),     0.06932,       0.06932
(256, 359),     0.07078,       0.07078
(285, 398),     0.07166,       0.07166
(257, 467),     0.07188,       0.07188
(133, 243),     0.07278,       0.07278
(63, 130),     0.07338,       0.07338
(56, 173),     0.07561,       0.07561
(259, 295),     0.07599,       0.07599
(29, 30),     0.07639,       0.07639
(255, 282),     0.07664,       0.07664
(249, 293),     0.07671,       0.07671
(46, 130),     0.07693,       0.07693
(341, 359),     0.07763,       0.07763
(276, 286),     0.07801,       0.07801
(384, 386),     0.07896,       0.07896
(296, 300),     0.07909,       0.07909
(243, 417),     0.07952,       0.07952
(259, 359),     0.07966,       0.07966
(258, 417),     0.08133,       0.08133
(300, 336),     0.08218,       0.08218
(70, 156),     0.08241,       0.08241
(249, 258),     0.08253,       0.08253
(336, 398),     0.08286,       0.08286
(295, 296),     0.08304,       0.08304
(255, 390),     0.08372,       0.08372
(295, 353),     0.08385,       0.08385
(296, 390),     0.08427,       0.08427
(260, 417),     0.08472,       0.08472
(255, 276),     0.08522,       0.08522
(276, 353),     0.08542,       0.08542
(285, 467),     0.08642,       0.08642
(155, 193),     0.08759,       0.08759
(25, 285),     0.08795,       0.08795
(145, 153),     0.08917,       0.08917
(110, 193),     0.08997,       0.08997
(53, 247),     0.09015,       0.09015
(359, 380),     0.09018,       0.09018
(385, 417),     0.09108,       0.09108
(359, 381),     0.09256,       0.09256
(27, 285),     0.09287,       0.09287
(256, 263),     0.09408,       0.09408
(56, 296),     0.09475,       0.09475
(259, 414),     0.09479,       0.09479
(130, 193),     0.0953,       0.0953
(255, 336),     0.09531,       0.09531
(7, 336),     0.0957,       0.0957
(30, 247),     0.09725,       0.09725
(359, 382),     0.09797,       0.09797
(296, 339),     0.10194,       0.10194
(359, 362),     0.10222,       0.10222
(249, 283),     0.10244,       0.10244
(359, 463),     0.1046,       0.1046
(255, 295),     0.10485,       0.10485
(265, 414),     0.10504,       0.10504
(46, 53),     0.10529,       0.10529
(296, 414),     0.10547,       0.10547
(265, 286),     0.10581,       0.10581
(260, 467),     0.10629,       0.10629
(385, 386),     0.10722,       0.10722
(46, 247),     0.10745,       0.10745
(259, 283),     0.10821,       0.10821
(53, 130),     0.10856,       0.10856
(33, 417),     0.10908,       0.10908
(249, 276),     0.11042,       0.11042
(398, 467),     0.11224,       0.11224
(417, 467),     0.11263,       0.11263
(417, 463),     0.11267,       0.11267
(53, 70),     0.11345,       0.11345
(110, 417),     0.11354,       0.11354
(144, 417),     0.11372,       0.11372
(263, 276),     0.11376,       0.11376
(263, 341),     0.11386,       0.11386
(285, 359),     0.11517,       0.11517
(282, 283),     0.11552,       0.11552
(258, 390),     0.11614,       0.11614
(283, 295),     0.11636,       0.11636
(263, 380),     0.11651,       0.11651
(46, 52),     0.11675,       0.11675
(265, 296),     0.1177,       0.1177
(353, 398),     0.1188,       0.1188
(286, 295),     0.11934,       0.11934
(336, 414),     0.11967,       0.11967
(154, 417),     0.1197,       0.1197
(252, 373),     0.12006,       0.12006
(163, 285),     0.12165,       0.12165
(386, 417),     0.12199,       0.12199
(255, 259),     0.12202,       0.12202
(265, 398),     0.12288,       0.12288
(105, 173),     0.12348,       0.12348
(30, 285),     0.12387,       0.12387
(28, 296),     0.12444,       0.12444
(35, 46),     0.1251,       0.1251
(252, 390),     0.12597,       0.12597
(25, 153),     0.12619,       0.12619
(334, 390),     0.12769,       0.12769
(247, 296),     0.12833,       0.12833
(382, 466),     0.12846,       0.12846
(258, 296),     0.12934,       0.12934
(249, 282),     0.12996,       0.12996
(373, 390),     0.13022,       0.13022
(46, 124),     0.13135,       0.13135
(193, 246),     0.13155,       0.13155
(256, 374),     0.13245,       0.13245
(27, 296),     0.13304,       0.13304
(286, 398),     0.13359,       0.13359
(463, 466),     0.13365,       0.13365
(249, 252),     0.13426,       0.13426
(257, 336),     0.13427,       0.13427
(190, 285),     0.13429,       0.13429
(66, 173),     0.13431,       0.13431
(161, 285),     0.13439,       0.13439
(295, 398),     0.13514,       0.13514
(56, 417),     0.13532,       0.13532
(286, 390),     0.13544,       0.13544
(336, 390),     0.13544,       0.13544
(254, 255),     0.13555,       0.13555
(29, 285),     0.13647,       0.13647
(362, 466),     0.13659,       0.13659
(381, 466),     0.13714,       0.13714
(249, 256),     0.13751,       0.13751
(253, 254),     0.13779,       0.13779
(253, 255),     0.13812,       0.13812
(276, 285),     0.13822,       0.13822
(260, 276),     0.13885,       0.13885
(27, 247),     0.13906,       0.13906
(107, 265),     0.13923,       0.13923
(359, 417),     0.13929,       0.13929
(249, 257),     0.13964,       0.13964
(286, 339),     0.14073,       0.14073
(249, 374),     0.14107,       0.14107
(7, 55),     0.14183,       0.14183
(55, 124),     0.14194,       0.14194
(263, 359),     0.14328,       0.14328
(252, 255),     0.14348,       0.14348
(35, 70),     0.14402,       0.14402
(359, 414),     0.14414,       0.14414
(362, 467),     0.14481,       0.14481
(263, 296),     0.14503,       0.14503
(52, 70),     0.14553,       0.14553
(154, 193),     0.14558,       0.14558
(263, 381),     0.14595,       0.14595
(25, 243),     0.14726,       0.14726
(286, 293),     0.14794,       0.14794
(463, 467),     0.14813,       0.14813
(263, 283),     0.14857,       0.14857
(29, 130),     0.14863,       0.14863
(29, 296),     0.14882,       0.14882
(25, 163),     0.14902,       0.14902
(35, 124),     0.14921,       0.14921
(258, 339),     0.14954,       0.14954
(63, 70),     0.14982,       0.14982
(157, 285),     0.14985,       0.14985
(336, 339),     0.15097,       0.15097
(374, 390),     0.15125,       0.15125
(56, 295),     0.15148,       0.15148
(339, 390),     0.15249,       0.15249
(293, 300),     0.15281,       0.15281
(30, 296),     0.15436,       0.15436
(258, 286),     0.15463,       0.15463
(286, 336),     0.15494,       0.15494
(249, 373),     0.15527,       0.15527
(30, 130),     0.15538,       0.15538
(293, 296),     0.1557,       0.1557
(388, 398),     0.1565,       0.1565
(249, 295),     0.15747,       0.15747
(257, 282),     0.15763,       0.15763
(334, 339),     0.15764,       0.15764
(256, 390),     0.15862,       0.15862
(265, 417),     0.15877,       0.15877
(249, 336),     0.15895,       0.15895
(296, 373),     0.1592,       0.1592
(359, 466),     0.15939,       0.15939
(359, 398),     0.1596,       0.1596
(285, 362),     0.15978,       0.15978
(255, 300),     0.16012,       0.16012
(65, 66),     0.16022,       0.16022
(255, 285),     0.16052,       0.16052
(259, 467),     0.16059,       0.16059
(263, 382),     0.16079,       0.16079
(384, 387),     0.16088,       0.16088
(252, 359),     0.16122,       0.16122
(353, 414),     0.1613,       0.1613
(145, 193),     0.16134,       0.16134
(193, 463),     0.16189,       0.16189
(25, 112),     0.16205,       0.16205
(387, 417),     0.16237,       0.16237
(158, 190),     0.16345,       0.16345
(29, 173),     0.16525,       0.16525
(130, 296),     0.1667,       0.1667
(107, 353),     0.1669,       0.1669
(300, 334),     0.167,       0.167
(296, 383),     0.16867,       0.16867
(105, 130),     0.16888,       0.16888
(341, 466),     0.16983,       0.16983
(249, 380),     0.17022,       0.17022
(285, 390),     0.17193,       0.17193
(295, 390),     0.17214,       0.17214
(285, 383),     0.17221,       0.17221
(255, 339),     0.17287,       0.17287
(249, 300),     0.17324,       0.17324
(282, 398),     0.17335,       0.17335
(256, 373),     0.17336,       0.17336
(336, 373),     0.1739,       0.1739
(253, 339),     0.17406,       0.17406
(263, 463),     0.1744,       0.1744
(263, 362),     0.17456,       0.17456
(255, 353),     0.17515,       0.17515
(398, 466),     0.17572,       0.17572
(255, 260),     0.17655,       0.17655
(283, 398),     0.17808,       0.17808
(161, 246),     0.1791,       0.1791
(258, 353),     0.17948,       0.17948
(252, 263),     0.17976,       0.17976
(263, 282),     0.17992,       0.17992
(249, 259),     0.1803,       0.1803
(276, 398),     0.18033,       0.18033
(66, 70),     0.18189,       0.18189
(300, 353),     0.18238,       0.18238
(130, 417),     0.18243,       0.18243
(105, 247),     0.18299,       0.18299
(33, 63),     0.18337,       0.18337
(285, 339),     0.18344,       0.18344
(388, 417),     0.18355,       0.18355
(254, 296),     0.18363,       0.18363
(257, 295),     0.18422,       0.18422
(258, 263),     0.18427,       0.18427
(249, 341),     0.18464,       0.18464
(381, 417),     0.18499,       0.18499
(46, 107),     0.18504,       0.18504
(359, 374),     0.18513,       0.18513
(254, 339),     0.18523,       0.18523
(336, 362),     0.18536,       0.18536
(173, 336),     0.18554,       0.18554
(7, 29),     0.18557,       0.18557
(193, 382),     0.18581,       0.18581
(55, 265),     0.18625,       0.18625
(382, 467),     0.18625,       0.18625
(145, 417),     0.1866,       0.1866
(293, 398),     0.18701,       0.18701
(144, 153),     0.18724,       0.18724
(263, 374),     0.18733,       0.18733
(193, 362),     0.18782,       0.18782
(7, 154),     0.18789,       0.18789
(285, 373),     0.18868,       0.18868
(249, 390),     0.19147,       0.19147
(256, 265),     0.19169,       0.19169
(258, 282),     0.19193,       0.19193
(193, 265),     0.19253,       0.19253
(153, 417),     0.1933,       0.1933
(265, 334),     0.19332,       0.19332
(255, 256),     0.19368,       0.19368
(265, 463),     0.19403,       0.19403
(293, 336),     0.19412,       0.19412
(249, 286),     0.19484,       0.19484
(70, 124),     0.19486,       0.19486
(25, 155),     0.19488,       0.19488
(25, 26),     0.19602,       0.19602
(255, 373),     0.19619,       0.19619
(249, 253),     0.1965,       0.1965
(56, 105),     0.19656,       0.19656
(341, 467),     0.19688,       0.19688
(25, 63),     0.19692,       0.19692
(153, 163),     0.19698,       0.19698
(107, 383),     0.19724,       0.19724
(380, 390),     0.19793,       0.19793
(33, 161),     0.19865,       0.19865
(259, 293),     0.1992,       0.1992
(27, 130),     0.19923,       0.19923
(35, 63),     0.19986,       0.19986
(7, 155),     0.1999,       0.1999
(25, 29),     0.1999,       0.1999
(33, 190),     0.20005,       0.20005
(25, 46),     0.2007,       0.2007
(30, 53),     0.20087,       0.20087
(265, 362),     0.20132,       0.20132
(282, 390),     0.20163,       0.20163
(417, 466),     0.20228,       0.20228
(246, 417),     0.20235,       0.20235
(25, 105),     0.20245,       0.20245
(385, 387),     0.20271,       0.20271
(52, 173),     0.20289,       0.20289
(252, 339),     0.20301,       0.20301
(144, 155),     0.20347,       0.20347
(145, 154),     0.20392,       0.20392
(276, 282),     0.20393,       0.20393
(7, 105),     0.20396,       0.20396
(353, 417),     0.20409,       0.20409
(247, 295),     0.2043,       0.2043
(282, 353),     0.20432,       0.20432
(46, 65),     0.20445,       0.20445
(265, 381),     0.205,       0.205
(265, 387),     0.20515,       0.20515
(373, 374),     0.2052,       0.2052
(295, 339),     0.20534,       0.20534
(193, 259),     0.20583,       0.20583
(26, 110),     0.206,       0.206
(157, 417),     0.20668,       0.20668
(25, 133),     0.20671,       0.20671
(255, 374),     0.20672,       0.20672
(385, 390),     0.20695,       0.20695
(254, 336),     0.20735,       0.20735
(265, 293),     0.20808,       0.20808
(29, 105),     0.20811,       0.20811
(25, 145),     0.20976,       0.20976
(265, 341),     0.21014,       0.21014
(265, 382),     0.21033,       0.21033
(257, 390),     0.21035,       0.21035
(339, 398),     0.21081,       0.21081
(25, 53),     0.21106,       0.21106
(381, 467),     0.21169,       0.21169
(265, 295),     0.21187,       0.21187
(258, 283),     0.21204,       0.21204
(293, 390),     0.2125,       0.2125
(263, 295),     0.21275,       0.21275
(341, 390),     0.21285,       0.21285
(30, 63),     0.2129,       0.2129
(282, 295),     0.2133,       0.2133
(190, 246),     0.21426,       0.21426
(158, 160),     0.2144,       0.2144
(7, 63),     0.21452,       0.21452
(65, 70),     0.2146,       0.2146
(253, 296),     0.21467,       0.21467
(253, 390),     0.21483,       0.21483
(193, 260),     0.21489,       0.21489
(249, 387),     0.21518,       0.21518
(25, 154),     0.21539,       0.21539
(249, 260),     0.2154,       0.2154
(130, 247),     0.21603,       0.21603
(7, 27),     0.21657,       0.21657
(130, 295),     0.21665,       0.21665
(296, 362),     0.21756,       0.21756
(263, 336),     0.21815,       0.21815
(259, 260),     0.21869,       0.21869
(252, 254),     0.21873,       0.21873
(153, 193),     0.21878,       0.21878
(334, 414),     0.2188,       0.2188
(107, 124),     0.21942,       0.21942
(7, 243),     0.21944,       0.21944
(70, 130),     0.2198,       0.2198
(63, 124),     0.21988,       0.21988
(341, 380),     0.22008,       0.22008
(193, 243),     0.22158,       0.22158
(56, 66),     0.22174,       0.22174
(25, 336),     0.22198,       0.22198
(336, 374),     0.22233,       0.22233
(193, 341),     0.22235,       0.22235
(283, 390),     0.22253,       0.22253
(390, 417),     0.22334,       0.22334
(25, 27),     0.22363,       0.22363
(255, 417),     0.22407,       0.22407
(285, 336),     0.22433,       0.22433
(258, 276),     0.22442,       0.22442
(7, 53),     0.22445,       0.22445
(28, 295),     0.22462,       0.22462
(33, 53),     0.2247,       0.2247
(193, 467),     0.2255,       0.2255
(254, 285),     0.22555,       0.22555
(249, 285),     0.22562,       0.22562
(7, 30),     0.22568,       0.22568
(296, 374),     0.2257,       0.2257
(55, 156),     0.22591,       0.22591
(107, 156),     0.22642,       0.22642
(263, 417),     0.22651,       0.22651
(285, 382),     0.22667,       0.22667
(374, 380),     0.22686,       0.22686
(173, 296),     0.22692,       0.22692
(145, 155),     0.22696,       0.22696
(70, 105),     0.22837,       0.22837
(30, 105),     0.22848,       0.22848
(107, 467),     0.22856,       0.22856
(7, 133),     0.22956,       0.22956
(285, 374),     0.22969,       0.22969
(157, 161),     0.2301,       0.2301
(33, 296),     0.23065,       0.23065
(25, 30),     0.23084,       0.23084
(70, 107),     0.23164,       0.23164
(107, 359),     0.23181,       0.23181
(373, 417),     0.23211,       0.23211
(249, 384),     0.23238,       0.23238
(256, 467),     0.23261,       0.23261
(124, 336),     0.23339,       0.23339
(27, 295),     0.2337,       0.2337
(33, 173),     0.23385,       0.23385
(155, 163),     0.23397,       0.23397
(373, 398),     0.23402,       0.23402
(295, 414),     0.23417,       0.23417
(249, 353),     0.23455,       0.23455
(144, 145),     0.2348,       0.2348
(296, 334),     0.23498,       0.23498
(144, 154),     0.23501,       0.23501
(283, 353),     0.23511,       0.23511
(253, 336),     0.2354,       0.2354
(293, 334),     0.23557,       0.23557
(373, 380),     0.23562,       0.23562
(33, 105),     0.23566,       0.23566
(257, 263),     0.23596,       0.23596
(33, 46),     0.23597,       0.23597
(255, 380),     0.23617,       0.23617
(27, 105),     0.23627,       0.23627
(163, 243),     0.23666,       0.23666
(7, 46),     0.2369,       0.2369
(359, 384),     0.2378,       0.2378
(336, 382),     0.23787,       0.23787
(334, 373),     0.23789,       0.23789
(112, 417),     0.23873,       0.23873
(133, 144),     0.23948,       0.23948
(193, 359),     0.23951,       0.23951
(249, 255),     0.23999,       0.23999
(154, 163),     0.24077,       0.24077
(255, 341),     0.24082,       0.24082
(295, 373),     0.24125,       0.24125
(30, 295),     0.24138,       0.24138
(285, 381),     0.24142,       0.24142
(339, 417),     0.24196,       0.24196
(282, 339),     0.2423,       0.2423
(265, 300),     0.24232,       0.24232
(263, 383),     0.2424,       0.2424
(33, 246),     0.24248,       0.24248
(341, 373),     0.24253,       0.24253
(29, 107),     0.24299,       0.24299
(336, 381),     0.24312,       0.24312
(383, 384),     0.24385,       0.24385
(253, 359),     0.24409,       0.24409
(249, 381),     0.2444,       0.2444
(29, 295),     0.24498,       0.24498
(386, 387),     0.2451,       0.2451
(383, 466),     0.24543,       0.24543
(33, 295),     0.24588,       0.24588
(388, 463),     0.24598,       0.24598
(384, 388),     0.24602,       0.24602
(341, 382),     0.24605,       0.24605
(385, 388),     0.24639,       0.24639
(30, 107),     0.24645,       0.24645
(27, 30),     0.24647,       0.24647
(107, 260),     0.24653,       0.24653
(258, 265),     0.24732,       0.24732
(7, 153),     0.24751,       0.24751
(390, 398),     0.24781,       0.24781
(246, 336),     0.24785,       0.24785
(336, 380),     0.248,       0.248
(65, 156),     0.24801,       0.24801
(46, 70),     0.24806,       0.24806
(253, 285),     0.24872,       0.24872
(193, 247),     0.24876,       0.24876
(293, 339),     0.24894,       0.24894
(7, 296),     0.24907,       0.24907
(286, 373),     0.24911,       0.24911
(255, 398),     0.2495,       0.2495
(257, 339),     0.24983,       0.24983
(160, 285),     0.25063,       0.25063
(252, 296),     0.25063,       0.25063
(249, 417),     0.25086,       0.25086
(163, 336),     0.25101,       0.25101
(339, 384),     0.2514,       0.2514
(265, 380),     0.25169,       0.25169
(276, 390),     0.252,       0.252
(107, 276),     0.25211,       0.25211
(252, 265),     0.2523,       0.2523
(300, 398),     0.25302,       0.25302
(359, 385),     0.25335,       0.25335
(133, 163),     0.25346,       0.25346
(263, 398),     0.25359,       0.25359
(285, 380),     0.25432,       0.25432
(296, 380),     0.25546,       0.25546
(55, 353),     0.25567,       0.25567
(285, 417),     0.25611,       0.25611
(252, 374),     0.25709,       0.25709
(249, 382),     0.25735,       0.25735
(153, 154),     0.2577,       0.2577
(256, 466),     0.25807,       0.25807
(285, 286),     0.25852,       0.25852
(249, 362),     0.25888,       0.25888
(383, 398),     0.26015,       0.26015
(249, 463),     0.26028,       0.26028
(300, 383),     0.26052,       0.26052
(107, 362),     0.26081,       0.26081
(386, 414),     0.26217,       0.26217
(7, 25),     0.26238,       0.26238
(254, 334),     0.26242,       0.26242
(353, 384),     0.26301,       0.26301
(252, 336),     0.26305,       0.26305
(65, 173),     0.26317,       0.26317
(276, 383),     0.26323,       0.26323
(260, 362),     0.26368,       0.26368
(296, 381),     0.26424,       0.26424
(130, 190),     0.26456,       0.26456
(55, 362),     0.26471,       0.26471
(153, 155),     0.26536,       0.26536
(276, 414),     0.26545,       0.26545
(283, 339),     0.26612,       0.26612
(362, 388),     0.26698,       0.26698
(380, 466),     0.26708,       0.26708
(263, 286),     0.26716,       0.26716
(258, 285),     0.26728,       0.26728
(7, 158),     0.26809,       0.26809
(53, 105),     0.26883,       0.26883
(193, 257),     0.26885,       0.26885
(112, 163),     0.26894,       0.26894
(7, 295),     0.26974,       0.26974
(255, 386),     0.26992,       0.26992
(295, 383),     0.27029,       0.27029
(52, 56),     0.27066,       0.27066
(157, 190),     0.2709,       0.2709
(258, 336),     0.27103,       0.27103
(52, 156),     0.2712,       0.2712
(374, 417),     0.27153,       0.27153
(336, 463),     0.27156,       0.27156
(24, 417),     0.27185,       0.27185
(66, 190),     0.27255,       0.27255
(22, 23),     0.27294,       0.27294
(22, 110),     0.27316,       0.27316
(144, 243),     0.27321,       0.27321
(285, 463),     0.27336,       0.27336
(124, 285),     0.27339,       0.27339
(258, 295),     0.27348,       0.27348
(29, 53),     0.27371,       0.27371
(110, 112),     0.27379,       0.27379
(252, 285),     0.27405,       0.27405
(35, 53),     0.27468,       0.27468
(107, 300),     0.27514,       0.27514
(296, 382),     0.27518,       0.27518
(258, 373),     0.27519,       0.27519
(382, 463),     0.27575,       0.27575
(259, 390),     0.27592,       0.27592
(130, 173),     0.27609,       0.27609
(263, 285),     0.27649,       0.27649
(286, 300),     0.27656,       0.27656
(254, 295),     0.27669,       0.27669
(156, 336),     0.27704,       0.27704
(381, 390),     0.2773,       0.2773
(385, 466),     0.27776,       0.27776
(387, 414),     0.27804,       0.27804
(55, 467),     0.27816,       0.27816
(52, 105),     0.27882,       0.27882
(295, 300),     0.27904,       0.27904
(26, 163),     0.27928,       0.27928
(260, 463),     0.27929,       0.27929
(27, 107),     0.27951,       0.27951
(55, 260),     0.27962,       0.27962
(362, 390),     0.27971,       0.27971
(110, 163),     0.28064,       0.28064
(341, 374),     0.28071,       0.28071
(154, 155),     0.28099,       0.28099
(336, 417),     0.28116,       0.28116
(65, 124),     0.28143,       0.28143
(190, 336),     0.28148,       0.28148
(387, 398),     0.28163,       0.28163
(161, 193),     0.28194,       0.28194
(336, 341),     0.28218,       0.28218
(35, 55),     0.28235,       0.28235
(107, 259),     0.28294,       0.28294
(382, 388),     0.28325,       0.28325
(257, 283),     0.28329,       0.28329
(25, 296),     0.28356,       0.28356
(7, 112),     0.28384,       0.28384
(283, 285),     0.28391,       0.28391
(66, 265),     0.28448,       0.28448
(249, 254),     0.28455,       0.28455
(254, 417),     0.28464,       0.28464
(55, 382),     0.2848,       0.2848
(35, 159),     0.28495,       0.28495
(386, 388),     0.28498,       0.28498
(254, 359),     0.28517,       0.28517
(253, 263),     0.28541,       0.28541
(276, 339),     0.28547,       0.28547
(55, 359),     0.2858,       0.2858
(255, 362),     0.2861,       0.2861
(35, 193),     0.28623,       0.28623
(256, 336),     0.28653,       0.28653
(263, 414),     0.28708,       0.28708
(46, 336),     0.2876,       0.2876
(285, 341),     0.2879,       0.2879
(414, 466),     0.28811,       0.28811
(390, 463),     0.28811,       0.28811
(144, 173),     0.28842,       0.28842
(193, 336),     0.28874,       0.28874
(107, 382),     0.28921,       0.28921
(382, 390),     0.28955,       0.28955
(341, 417),     0.28975,       0.28975
(53, 173),     0.29019,       0.29019
(388, 414),     0.29032,       0.29032
(265, 282),     0.29049,       0.29049
(107, 255),     0.29076,       0.29076
(256, 296),     0.29083,       0.29083
(286, 383),     0.29092,       0.29092
(28, 105),     0.29104,       0.29104
(384, 466),     0.29178,       0.29178
(35, 160),     0.29188,       0.29188
(26, 144),     0.29216,       0.29216
(55, 259),     0.29289,       0.29289
(373, 414),     0.29292,       0.29292
(255, 463),     0.2933,       0.2933
(255, 414),     0.29331,       0.29331
(55, 246),     0.29334,       0.29334
(256, 339),     0.29387,       0.29387
(157, 163),     0.29477,       0.29477
(359, 373),     0.29485,       0.29485
