Comparing the following files: 
kelly_front_s3_v2/,  hadleigh_front_s3_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s3_v2_vs_hadleigh_front_s3_v2,  average
(22, 414),     -0.45972,       -0.45972
(133, 362),     -0.45815,       -0.45815
(124, 286),     -0.45635,       -0.45635
(29, 283),     -0.45564,       -0.45564
(190, 382),     -0.45558,       -0.45558
(173, 341),     -0.45552,       -0.45552
(193, 417),     -0.45512,       -0.45512
(190, 341),     -0.45483,       -0.45483
(173, 463),     -0.45419,       -0.45419
(156, 265),     -0.45418,       -0.45418
(145, 381),     -0.45415,       -0.45415
(190, 384),     -0.45343,       -0.45343
(52, 70),     -0.45336,       -0.45336
(173, 256),     -0.45316,       -0.45316
(247, 300),     -0.45286,       -0.45286
(27, 295),     -0.45281,       -0.45281
(26, 133),     -0.45271,       -0.45271
(124, 398),     -0.45261,       -0.45261
(243, 384),     -0.4525,       -0.4525
(173, 414),     -0.45248,       -0.45248
(124, 382),     -0.45224,       -0.45224
(35, 381),     -0.45185,       -0.45185
(22, 256),     -0.45153,       -0.45153
(154, 380),     -0.45146,       -0.45146
(110, 256),     -0.44989,       -0.44989
(26, 256),     -0.44954,       -0.44954
(285, 293),     -0.44943,       -0.44943
(22, 398),     -0.44897,       -0.44897
(243, 362),     -0.44827,       -0.44827
(247, 283),     -0.4482,       -0.4482
(105, 334),     -0.44814,       -0.44814
(190, 286),     -0.44784,       -0.44784
(133, 276),     -0.44775,       -0.44775
(26, 155),     -0.4469,       -0.4469
(145, 252),     -0.44669,       -0.44669
(133, 463),     -0.44654,       -0.44654
(30, 283),     -0.4463,       -0.4463
(26, 153),     -0.44553,       -0.44553
(46, 276),     -0.44463,       -0.44463
(56, 257),     -0.44424,       -0.44424
(22, 381),     -0.44376,       -0.44376
(144, 256),     -0.44193,       -0.44193
(158, 276),     -0.44163,       -0.44163
(124, 258),     -0.44124,       -0.44124
(130, 300),     -0.44082,       -0.44082
(110, 382),     -0.43951,       -0.43951
(144, 382),     -0.43943,       -0.43943
(243, 463),     -0.43925,       -0.43925
(110, 398),     -0.43921,       -0.43921
(154, 253),     -0.43915,       -0.43915
(173, 283),     -0.43901,       -0.43901
(156, 295),     -0.43886,       -0.43886
(243, 253),     -0.43876,       -0.43876
(173, 252),     -0.43845,       -0.43845
(112, 380),     -0.43842,       -0.43842
(29, 300),     -0.43841,       -0.43841
(23, 381),     -0.43828,       -0.43828
(157, 385),     -0.43772,       -0.43772
(133, 353),     -0.43766,       -0.43766
(124, 362),     -0.43763,       -0.43763
(27, 276),     -0.437,       -0.437
(22, 133),     -0.43689,       -0.43689
(124, 381),     -0.43611,       -0.43611
(29, 295),     -0.43581,       -0.43581
(247, 334),     -0.43468,       -0.43468
(124, 256),     -0.43452,       -0.43452
(157, 383),     -0.43352,       -0.43352
(55, 334),     -0.43274,       -0.43274
(52, 300),     -0.43259,       -0.43259
(35, 341),     -0.43235,       -0.43235
(70, 252),     -0.43192,       -0.43192
(56, 398),     -0.4319,       -0.4319
(35, 463),     -0.43168,       -0.43168
(247, 282),     -0.43083,       -0.43083
(190, 383),     -0.43038,       -0.43038
(124, 252),     -0.42996,       -0.42996
(26, 112),     -0.42941,       -0.42941
(173, 293),     -0.42885,       -0.42885
(173, 380),     -0.42816,       -0.42816
(53, 70),     -0.42809,       -0.42809
(124, 341),     -0.42797,       -0.42797
(144, 362),     -0.4277,       -0.4277
(56, 258),     -0.42763,       -0.42763
(155, 254),     -0.42762,       -0.42762
(66, 334),     -0.42743,       -0.42743
(107, 334),     -0.42697,       -0.42697
(144, 463),     -0.42671,       -0.42671
(130, 293),     -0.42648,       -0.42648
(46, 70),     -0.42572,       -0.42572
(190, 362),     -0.42528,       -0.42528
(53, 283),     -0.42503,       -0.42503
(133, 254),     -0.42486,       -0.42486
(70, 381),     -0.4237,       -0.4237
(158, 300),     -0.42307,       -0.42307
(110, 381),     -0.42251,       -0.42251
(190, 398),     -0.42218,       -0.42218
(28, 334),     -0.42044,       -0.42044
(30, 300),     -0.42035,       -0.42035
(24, 252),     -0.4199,       -0.4199
(30, 295),     -0.41909,       -0.41909
(35, 385),     -0.41784,       -0.41784
(70, 256),     -0.41771,       -0.41771
(26, 252),     -0.41737,       -0.41737
(124, 336),     -0.41704,       -0.41704
(22, 155),     -0.41559,       -0.41559
(157, 398),     -0.41526,       -0.41526
(35, 256),     -0.41523,       -0.41523
(144, 398),     -0.41506,       -0.41506
(35, 257),     -0.41488,       -0.41488
(130, 276),     -0.41473,       -0.41473
(26, 243),     -0.41354,       -0.41354
(247, 276),     -0.41349,       -0.41349
(156, 382),     -0.41262,       -0.41262
(154, 384),     -0.41224,       -0.41224
(173, 385),     -0.41117,       -0.41117
(70, 380),     -0.41098,       -0.41098
(53, 295),     -0.41082,       -0.41082
(65, 300),     -0.41019,       -0.41019
(70, 382),     -0.41012,       -0.41012
(156, 252),     -0.4101,       -0.4101
(156, 398),     -0.40995,       -0.40995
(110, 463),     -0.40994,       -0.40994
(52, 282),     -0.40962,       -0.40962
(22, 252),     -0.40919,       -0.40919
(158, 353),     -0.40893,       -0.40893
(70, 283),     -0.40874,       -0.40874
(23, 252),     -0.40872,       -0.40872
(190, 283),     -0.40871,       -0.40871
(190, 380),     -0.40849,       -0.40849
(70, 282),     -0.40819,       -0.40819
(65, 336),     -0.40784,       -0.40784
(124, 384),     -0.40681,       -0.40681
(28, 65),     -0.40511,       -0.40511
(35, 252),     -0.40507,       -0.40507
(156, 381),     -0.40422,       -0.40422
(190, 463),     -0.4042,       -0.4042
(28, 383),     -0.40337,       -0.40337
(46, 336),     -0.40337,       -0.40337
(110, 362),     -0.40298,       -0.40298
(156, 256),     -0.40147,       -0.40147
(190, 293),     -0.40144,       -0.40144
(110, 252),     -0.40015,       -0.40015
(144, 252),     -0.3997,       -0.3997
(25, 276),     -0.39844,       -0.39844
(153, 380),     -0.39831,       -0.39831
(173, 383),     -0.39808,       -0.39808
(144, 381),     -0.39807,       -0.39807
(157, 283),     -0.39755,       -0.39755
(155, 286),     -0.39728,       -0.39728
(243, 286),     -0.3971,       -0.3971
(158, 383),     -0.3967,       -0.3967
(156, 362),     -0.39655,       -0.39655
(56, 265),     -0.39628,       -0.39628
(124, 463),     -0.39628,       -0.39628
(133, 374),     -0.39617,       -0.39617
(25, 300),     -0.39573,       -0.39573
(130, 283),     -0.39561,       -0.39561
(133, 300),     -0.39557,       -0.39557
(29, 66),     -0.39495,       -0.39495
(243, 276),     -0.3935,       -0.3935
(155, 374),     -0.39209,       -0.39209
(70, 341),     -0.39125,       -0.39125
(112, 253),     -0.39116,       -0.39116
(155, 276),     -0.3911,       -0.3911
(70, 253),     -0.3906,       -0.3906
(52, 53),     -0.39056,       -0.39056
(163, 341),     -0.39011,       -0.39011
(158, 286),     -0.39004,       -0.39004
(29, 296),     -0.38979,       -0.38979
(156, 341),     -0.38915,       -0.38915
(105, 293),     -0.38862,       -0.38862
(53, 336),     -0.38799,       -0.38799
(156, 286),     -0.38746,       -0.38746
(163, 256),     -0.38722,       -0.38722
(110, 276),     -0.38703,       -0.38703
(70, 398),     -0.3867,       -0.3867
(124, 380),     -0.38644,       -0.38644
(282, 334),     -0.38561,       -0.38561
(124, 414),     -0.38539,       -0.38539
(25, 256),     -0.38493,       -0.38493
(153, 253),     -0.38356,       -0.38356
(52, 336),     -0.38324,       -0.38324
(46, 252),     -0.38163,       -0.38163
(35, 380),     -0.3808,       -0.3808
(243, 353),     -0.38027,       -0.38027
(70, 362),     -0.38025,       -0.38025
(133, 265),     -0.37989,       -0.37989
(28, 258),     -0.37957,       -0.37957
(130, 265),     -0.37687,       -0.37687
(158, 414),     -0.37675,       -0.37675
(56, 65),     -0.37665,       -0.37665
(70, 276),     -0.37543,       -0.37543
(46, 383),     -0.37511,       -0.37511
(65, 296),     -0.37487,       -0.37487
(258, 276),     -0.37481,       -0.37481
(247, 295),     -0.3746,       -0.3746
(28, 353),     -0.3744,       -0.3744
(124, 253),     -0.37432,       -0.37432
(25, 341),     -0.3741,       -0.3741
(46, 256),     -0.37355,       -0.37355
(22, 145),     -0.37312,       -0.37312
(190, 253),     -0.37274,       -0.37274
(30, 296),     -0.37249,       -0.37249
(144, 414),     -0.37143,       -0.37143
(156, 384),     -0.37033,       -0.37033
(35, 296),     -0.36986,       -0.36986
(46, 381),     -0.36961,       -0.36961
(25, 293),     -0.36948,       -0.36948
(190, 265),     -0.36924,       -0.36924
(157, 293),     -0.36914,       -0.36914
(173, 253),     -0.36861,       -0.36861
(22, 243),     -0.36828,       -0.36828
(7, 247),     -0.36825,       -0.36825
(70, 374),     -0.36799,       -0.36799
(156, 380),     -0.36732,       -0.36732
(35, 259),     -0.36703,       -0.36703
(25, 252),     -0.36647,       -0.36647
(156, 258),     -0.36537,       -0.36537
(63, 296),     -0.36531,       -0.36531
(24, 276),     -0.36523,       -0.36523
(156, 253),     -0.36504,       -0.36504
(30, 52),     -0.36496,       -0.36496
(30, 276),     -0.36335,       -0.36335
(260, 300),     -0.36245,       -0.36245
(25, 283),     -0.36234,       -0.36234
(26, 380),     -0.36216,       -0.36216
(56, 414),     -0.36179,       -0.36179
(65, 282),     -0.36136,       -0.36136
(243, 300),     -0.36117,       -0.36117
(25, 381),     -0.361,       -0.361
(52, 283),     -0.36049,       -0.36049
(35, 467),     -0.35977,       -0.35977
(63, 300),     -0.35968,       -0.35968
(163, 382),     -0.35941,       -0.35941
(130, 252),     -0.35882,       -0.35882
(193, 300),     -0.35877,       -0.35877
(110, 414),     -0.35831,       -0.35831
(154, 254),     -0.35823,       -0.35823
(173, 265),     -0.35773,       -0.35773
(46, 382),     -0.3577,       -0.3577
(112, 153),     -0.35734,       -0.35734
(155, 353),     -0.35729,       -0.35729
(163, 252),     -0.35698,       -0.35698
(255, 359),     -0.35644,       -0.35644
(130, 383),     -0.35569,       -0.35569
(130, 256),     -0.35537,       -0.35537
(70, 383),     -0.35499,       -0.35499
(35, 253),     -0.3549,       -0.3549
(110, 300),     -0.35474,       -0.35474
(35, 260),     -0.35435,       -0.35435
(133, 283),     -0.35414,       -0.35414
(28, 286),     -0.35348,       -0.35348
(130, 353),     -0.35327,       -0.35327
(145, 380),     -0.35289,       -0.35289
(66, 293),     -0.35256,       -0.35256
(25, 382),     -0.35254,       -0.35254
(55, 283),     -0.35136,       -0.35136
(157, 257),     -0.35094,       -0.35094
(24, 380),     -0.35083,       -0.35083
(286, 300),     -0.35078,       -0.35078
(56, 381),     -0.35054,       -0.35054
(156, 463),     -0.35045,       -0.35045
(27, 296),     -0.34971,       -0.34971
(29, 276),     -0.3494,       -0.3494
(46, 380),     -0.34929,       -0.34929
(158, 384),     -0.34901,       -0.34901
(107, 293),     -0.34827,       -0.34827
(130, 381),     -0.34796,       -0.34796
(296, 336),     -0.34792,       -0.34792
(56, 362),     -0.34689,       -0.34689
(66, 296),     -0.34676,       -0.34676
(110, 283),     -0.34608,       -0.34608
(124, 257),     -0.34553,       -0.34553
(70, 254),     -0.34541,       -0.34541
(7, 256),     -0.34535,       -0.34535
(249, 359),     -0.34514,       -0.34514
(46, 341),     -0.3447,       -0.3447
(130, 382),     -0.34457,       -0.34457
(29, 336),     -0.34448,       -0.34448
(153, 384),     -0.34304,       -0.34304
(46, 398),     -0.34248,       -0.34248
(154, 276),     -0.34084,       -0.34084
(130, 341),     -0.3402,       -0.3402
(163, 381),     -0.34009,       -0.34009
(22, 380),     -0.33964,       -0.33964
(35, 254),     -0.33955,       -0.33955
(70, 463),     -0.33873,       -0.33873
(56, 252),     -0.33867,       -0.33867
(56, 382),     -0.33836,       -0.33836
(124, 254),     -0.33825,       -0.33825
(133, 383),     -0.33814,       -0.33814
(190, 414),     -0.3378,       -0.3378
(155, 300),     -0.33774,       -0.33774
(56, 256),     -0.33774,       -0.33774
(158, 385),     -0.33773,       -0.33773
(154, 286),     -0.33758,       -0.33758
(28, 295),     -0.33744,       -0.33744
(110, 384),     -0.33729,       -0.33729
(156, 254),     -0.33683,       -0.33683
(110, 293),     -0.33675,       -0.33675
(341, 382),     -0.33672,       -0.33672
(145, 253),     -0.33655,       -0.33655
(133, 293),     -0.33613,       -0.33613
(243, 254),     -0.33612,       -0.33612
(29, 65),     -0.33509,       -0.33509
(22, 190),     -0.3342,       -0.3342
(52, 295),     -0.33396,       -0.33396
(112, 276),     -0.3339,       -0.3339
(7, 252),     -0.33186,       -0.33186
(30, 66),     -0.33186,       -0.33186
(112, 155),     -0.33094,       -0.33094
(159, 276),     -0.33085,       -0.33085
(156, 414),     -0.33055,       -0.33055
(243, 374),     -0.33028,       -0.33028
(46, 253),     -0.33009,       -0.33009
(53, 276),     -0.32972,       -0.32972
(130, 282),     -0.3297,       -0.3297
(23, 380),     -0.32929,       -0.32929
(258, 285),     -0.32882,       -0.32882
(24, 286),     -0.32841,       -0.32841
(7, 341),     -0.32793,       -0.32793
(35, 285),     -0.32761,       -0.32761
(63, 252),     -0.32712,       -0.32712
(46, 362),     -0.32705,       -0.32705
(24, 300),     -0.32633,       -0.32633
(65, 283),     -0.32578,       -0.32578
(163, 463),     -0.32562,       -0.32562
(56, 107),     -0.32555,       -0.32555
(56, 259),     -0.32527,       -0.32527
(190, 385),     -0.32336,       -0.32336
(193, 293),     -0.32336,       -0.32336
(24, 283),     -0.32265,       -0.32265
(30, 336),     -0.32225,       -0.32225
(163, 362),     -0.32178,       -0.32178
(110, 380),     -0.32166,       -0.32166
(110, 286),     -0.32093,       -0.32093
(155, 265),     -0.32086,       -0.32086
(22, 173),     -0.32041,       -0.32041
(46, 353),     -0.3202,       -0.3202
(70, 295),     -0.32014,       -0.32014
(155, 283),     -0.31963,       -0.31963
(25, 384),     -0.31959,       -0.31959
(124, 374),     -0.31949,       -0.31949
(159, 300),     -0.31921,       -0.31921
(23, 276),     -0.31915,       -0.31915
(65, 145),     -0.31905,       -0.31905
(190, 257),     -0.3185,       -0.3185
(56, 341),     -0.31811,       -0.31811
(156, 374),     -0.31774,       -0.31774
(285, 296),     -0.31682,       -0.31682
(105, 296),     -0.31631,       -0.31631
(247, 382),     -0.3163,       -0.3163
(46, 265),     -0.31615,       -0.31615
(154, 374),     -0.31582,       -0.31582
(159, 286),     -0.31566,       -0.31566
(112, 243),     -0.31562,       -0.31562
(156, 336),     -0.3151,       -0.3151
(46, 163),     -0.31506,       -0.31506
(55, 282),     -0.31473,       -0.31473
(112, 384),     -0.31471,       -0.31471
(247, 256),     -0.31468,       -0.31468
(63, 256),     -0.31443,       -0.31443
(24, 293),     -0.31413,       -0.31413
(63, 381),     -0.31411,       -0.31411
(247, 296),     -0.31392,       -0.31392
(46, 144),     -0.31349,       -0.31349
(163, 247),     -0.31341,       -0.31341
(25, 353),     -0.31252,       -0.31252
(26, 253),     -0.31198,       -0.31198
(56, 380),     -0.31195,       -0.31195
(70, 265),     -0.31174,       -0.31174
(353, 467),     -0.31143,       -0.31143
(35, 386),     -0.31142,       -0.31142
(56, 463),     -0.31141,       -0.31141
(63, 380),     -0.311,       -0.311
(247, 252),     -0.31096,       -0.31096
(35, 374),     -0.31095,       -0.31095
(107, 296),     -0.31057,       -0.31057
(65, 153),     -0.3103,       -0.3103
(193, 276),     -0.31029,       -0.31029
(153, 276),     -0.30973,       -0.30973
(173, 374),     -0.30882,       -0.30882
(112, 300),     -0.30866,       -0.30866
(339, 359),     -0.30843,       -0.30843
(173, 254),     -0.30763,       -0.30763
(247, 381),     -0.30723,       -0.30723
(247, 398),     -0.30703,       -0.30703
(22, 276),     -0.30637,       -0.30637
(53, 144),     -0.30539,       -0.30539
(52, 145),     -0.3048,       -0.3048
(56, 282),     -0.30472,       -0.30472
(35, 359),     -0.30461,       -0.30461
(247, 341),     -0.30452,       -0.30452
(243, 265),     -0.30366,       -0.30366
(157, 362),     -0.30351,       -0.30351
(27, 286),     -0.30275,       -0.30275
(25, 463),     -0.30253,       -0.30253
(24, 384),     -0.30232,       -0.30232
(130, 380),     -0.3023,       -0.3023
(153, 286),     -0.30205,       -0.30205
(52, 144),     -0.30194,       -0.30194
(26, 276),     -0.30187,       -0.30187
(144, 380),     -0.3018,       -0.3018
(130, 362),     -0.30174,       -0.30174
(53, 163),     -0.3014,       -0.3014
(55, 276),     -0.30126,       -0.30126
(155, 293),     -0.30121,       -0.30121
(25, 362),     -0.30113,       -0.30113
(163, 398),     -0.30046,       -0.30046
(70, 353),     -0.30034,       -0.30034
(156, 257),     -0.3003,       -0.3003
(154, 283),     -0.29984,       -0.29984
(256, 463),     -0.29976,       -0.29976
(130, 253),     -0.29925,       -0.29925
(256, 380),     -0.29915,       -0.29915
(145, 384),     -0.29895,       -0.29895
(46, 286),     -0.29895,       -0.29895
(7, 381),     -0.29881,       -0.29881
(28, 66),     -0.29865,       -0.29865
(52, 163),     -0.29826,       -0.29826
(144, 283),     -0.29769,       -0.29769
(133, 385),     -0.29758,       -0.29758
(247, 362),     -0.29744,       -0.29744
(24, 253),     -0.29738,       -0.29738
(53, 145),     -0.29718,       -0.29718
(70, 373),     -0.29718,       -0.29718
(124, 163),     -0.29701,       -0.29701
(28, 107),     -0.29697,       -0.29697
(255, 383),     -0.2968,       -0.2968
(30, 286),     -0.29659,       -0.29659
(144, 276),     -0.29645,       -0.29645
(53, 252),     -0.29639,       -0.29639
(65, 295),     -0.29582,       -0.29582
(145, 276),     -0.29567,       -0.29567
(25, 398),     -0.29519,       -0.29519
(133, 258),     -0.29487,       -0.29487
(247, 286),     -0.29476,       -0.29476
(286, 293),     -0.29448,       -0.29448
(158, 258),     -0.29401,       -0.29401
(153, 283),     -0.29374,       -0.29374
(145, 283),     -0.29365,       -0.29365
(130, 334),     -0.29304,       -0.29304
(243, 383),     -0.29297,       -0.29297
(23, 283),     -0.29248,       -0.29248
(46, 374),     -0.29245,       -0.29245
(25, 380),     -0.29211,       -0.29211
(144, 253),     -0.292,       -0.292
(276, 286),     -0.29146,       -0.29146
(7, 382),     -0.29142,       -0.29142
(157, 382),     -0.29133,       -0.29133
(46, 463),     -0.29116,       -0.29116
(154, 300),     -0.29102,       -0.29102
(282, 285),     -0.29067,       -0.29067
(23, 293),     -0.29053,       -0.29053
(22, 253),     -0.29051,       -0.29051
(53, 63),     -0.29037,       -0.29037
(27, 336),     -0.29002,       -0.29002
(46, 258),     -0.28973,       -0.28973
(30, 65),     -0.28964,       -0.28964
(341, 463),     -0.28951,       -0.28951
(153, 254),     -0.2894,       -0.2894
(112, 374),     -0.28875,       -0.28875
(53, 256),     -0.2884,       -0.2884
(35, 339),     -0.28835,       -0.28835
(25, 265),     -0.2883,       -0.2883
(190, 374),     -0.28807,       -0.28807
(243, 293),     -0.28788,       -0.28788
(254, 467),     -0.28776,       -0.28776
(29, 107),     -0.28747,       -0.28747
(247, 383),     -0.28728,       -0.28728
(252, 463),     -0.28699,       -0.28699
(293, 300),     -0.28686,       -0.28686
(145, 286),     -0.28654,       -0.28654
(154, 293),     -0.28624,       -0.28624
(63, 382),     -0.286,       -0.286
(110, 253),     -0.28581,       -0.28581
(25, 163),     -0.28567,       -0.28567
(247, 353),     -0.28545,       -0.28545
(157, 381),     -0.28533,       -0.28533
