Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(190, 247),     -0.3017,       -0.3017
(155, 163),     -0.30163,       -0.30163
(296, 463),     -0.30139,       -0.30139
(260, 382),     -0.30105,       -0.30105
(22, 29),     -0.30077,       -0.30077
(33, 144),     -0.30069,       -0.30069
(7, 159),     -0.3004,       -0.3004
(158, 160),     -0.30016,       -0.30016
(157, 327),     -0.30013,       -0.30013
(25, 173),     -0.29994,       -0.29994
(46, 287),     -0.29966,       -0.29966
(382, 387),     -0.29938,       -0.29938
(334, 463),     -0.29933,       -0.29933
(22, 130),     -0.298,       -0.298
(26, 160),     -0.2978,       -0.2978
(26, 306),     -0.2976,       -0.2976
(56, 308),     -0.29731,       -0.29731
(65, 291),     -0.29712,       -0.29712
(385, 463),     -0.29707,       -0.29707
(35, 287),     -0.29648,       -0.29648
(283, 382),     -0.29478,       -0.29478
(387, 463),     -0.2936,       -0.2936
(295, 463),     -0.29303,       -0.29303
(7, 247),     -0.29284,       -0.29284
(282, 414),     -0.29273,       -0.29273
(112, 163),     -0.29255,       -0.29255
(25, 157),     -0.29249,       -0.29249
(23, 29),     -0.29229,       -0.29229
(53, 287),     -0.2921,       -0.2921
(27, 144),     -0.29204,       -0.29204
(144, 153),     -0.29202,       -0.29202
(7, 157),     -0.29112,       -0.29112
(381, 467),     -0.29094,       -0.29094
(25, 287),     -0.29084,       -0.29084
(27, 190),     -0.29016,       -0.29016
(249, 390),     -0.29006,       -0.29006
(24, 30),     -0.29005,       -0.29005
(259, 390),     -0.2898,       -0.2898
(293, 353),     -0.28946,       -0.28946
(257, 382),     -0.28943,       -0.28943
(145, 160),     -0.28893,       -0.28893
(159, 163),     -0.28814,       -0.28814
(263, 373),     -0.28757,       -0.28757
(341, 387),     -0.28737,       -0.28737
(25, 133),     -0.2873,       -0.2873
(362, 387),     -0.28667,       -0.28667
(296, 414),     -0.28637,       -0.28637
(33, 153),     -0.28592,       -0.28592
(256, 259),     -0.28587,       -0.28587
(384, 385),     -0.28577,       -0.28577
(373, 388),     -0.2856,       -0.2856
(381, 387),     -0.28519,       -0.28519
(257, 463),     -0.28518,       -0.28518
(153, 292),     -0.28471,       -0.28471
(295, 414),     -0.28435,       -0.28435
(386, 398),     -0.28267,       -0.28267
(253, 282),     -0.28263,       -0.28263
(173, 292),     -0.28259,       -0.28259
(334, 341),     -0.28171,       -0.28171
(259, 341),     -0.28138,       -0.28138
(7, 190),     -0.28127,       -0.28127
(22, 33),     -0.27965,       -0.27965
(380, 388),     -0.27945,       -0.27945
(33, 190),     -0.27893,       -0.27893
(257, 341),     -0.27852,       -0.27852
(252, 259),     -0.27834,       -0.27834
(259, 362),     -0.27824,       -0.27824
(110, 327),     -0.27803,       -0.27803
(259, 463),     -0.27773,       -0.27773
(29, 133),     -0.27696,       -0.27696
(22, 292),     -0.27674,       -0.27674
(154, 291),     -0.27661,       -0.27661
(362, 386),     -0.27589,       -0.27589
(341, 386),     -0.2756,       -0.2756
(256, 257),     -0.27487,       -0.27487
(7, 145),     -0.27484,       -0.27484
(257, 362),     -0.27468,       -0.27468
(23, 33),     -0.27426,       -0.27426
(384, 463),     -0.27371,       -0.27371
(382, 388),     -0.27343,       -0.27343
(381, 388),     -0.27336,       -0.27336
(52, 153),     -0.27314,       -0.27314
(163, 327),     -0.27297,       -0.27297
(27, 145),     -0.2725,       -0.2725
(145, 163),     -0.27243,       -0.27243
(22, 25),     -0.2721,       -0.2721
(23, 308),     -0.27147,       -0.27147
(160, 287),     -0.27102,       -0.27102
(76, 78),     -0.27025,       -0.27025
(257, 373),     -0.27006,       -0.27006
(159, 173),     -0.26942,       -0.26942
(249, 466),     -0.26928,       -0.26928
(295, 341),     -0.26841,       -0.26841
(157, 190),     -0.26794,       -0.26794
(112, 291),     -0.26778,       -0.26778
(256, 387),     -0.26749,       -0.26749
(25, 190),     -0.26732,       -0.26732
(27, 163),     -0.26726,       -0.26726
(398, 463),     -0.26722,       -0.26722
(23, 160),     -0.26669,       -0.26669
(359, 390),     -0.26668,       -0.26668
(163, 287),     -0.26646,       -0.26646
(334, 390),     -0.26589,       -0.26589
(190, 291),     -0.26571,       -0.26571
(414, 463),     -0.26505,       -0.26505
(296, 341),     -0.26505,       -0.26505
(26, 163),     -0.26492,       -0.26492
(257, 258),     -0.26476,       -0.26476
(382, 386),     -0.26386,       -0.26386
(256, 334),     -0.26373,       -0.26373
(158, 163),     -0.26352,       -0.26352
(61, 78),     -0.26267,       -0.26267
(25, 243),     -0.26266,       -0.26266
(256, 295),     -0.26265,       -0.26265
(173, 308),     -0.26254,       -0.26254
(7, 30),     -0.26241,       -0.26241
(130, 190),     -0.26239,       -0.26239
(7, 173),     -0.26158,       -0.26158
(252, 260),     -0.26141,       -0.26141
(283, 300),     -0.261,       -0.261
(144, 163),     -0.26099,       -0.26099
(256, 260),     -0.26093,       -0.26093
(157, 163),     -0.26028,       -0.26028
(385, 398),     -0.26028,       -0.26028
(52, 154),     -0.25983,       -0.25983
(23, 25),     -0.25935,       -0.25935
(380, 387),     -0.25915,       -0.25915
(110, 246),     -0.25882,       -0.25882
(260, 362),     -0.25867,       -0.25867
(52, 190),     -0.2581,       -0.2581
(260, 341),     -0.258,       -0.258
(341, 388),     -0.2577,       -0.2577
(22, 160),     -0.25769,       -0.25769
(110, 161),     -0.25753,       -0.25753
(153, 160),     -0.25715,       -0.25715
(387, 398),     -0.25655,       -0.25655
(253, 388),     -0.25605,       -0.25605
(53, 144),     -0.25557,       -0.25557
(292, 308),     -0.25498,       -0.25498
(22, 110),     -0.25492,       -0.25492
(256, 388),     -0.25482,       -0.25482
(283, 362),     -0.25471,       -0.25471
(384, 386),     -0.25451,       -0.25451
(382, 467),     -0.25427,       -0.25427
(63, 287),     -0.25389,       -0.25389
(52, 243),     -0.25389,       -0.25389
(26, 292),     -0.25382,       -0.25382
(7, 22),     -0.25366,       -0.25366
(252, 388),     -0.25353,       -0.25353
(24, 33),     -0.25334,       -0.25334
(258, 463),     -0.25248,       -0.25248
(145, 153),     -0.25247,       -0.25247
(190, 306),     -0.25232,       -0.25232
(28, 327),     -0.25191,       -0.25191
(124, 327),     -0.25166,       -0.25166
(253, 466),     -0.25069,       -0.25069
(52, 112),     -0.25014,       -0.25014
(252, 257),     -0.25013,       -0.25013
(260, 463),     -0.25005,       -0.25005
(110, 247),     -0.24991,       -0.24991
(144, 154),     -0.24891,       -0.24891
(163, 190),     -0.24888,       -0.24888
(53, 145),     -0.2488,       -0.2488
(253, 259),     -0.24864,       -0.24864
(257, 414),     -0.24853,       -0.24853
(52, 155),     -0.24852,       -0.24852
(283, 341),     -0.24739,       -0.24739
(374, 387),     -0.24722,       -0.24722
(24, 327),     -0.24718,       -0.24718
(24, 160),     -0.2471,       -0.2471
(163, 243),     -0.24567,       -0.24567
(130, 144),     -0.24533,       -0.24533
(154, 306),     -0.24487,       -0.24487
(283, 463),     -0.24457,       -0.24457
(144, 159),     -0.24446,       -0.24446
(256, 283),     -0.24412,       -0.24412
(341, 385),     -0.24364,       -0.24364
(27, 243),     -0.24362,       -0.24362
(33, 145),     -0.24355,       -0.24355
(24, 29),     -0.24346,       -0.24346
(256, 296),     -0.24316,       -0.24316
(256, 386),     -0.24229,       -0.24229
(296, 362),     -0.24189,       -0.24189
(163, 173),     -0.241,       -0.241
(295, 398),     -0.24083,       -0.24083
(282, 339),     -0.24068,       -0.24068
(153, 308),     -0.23993,       -0.23993
(362, 388),     -0.23987,       -0.23987
(282, 398),     -0.23959,       -0.23959
(130, 153),     -0.23895,       -0.23895
(159, 243),     -0.23883,       -0.23883
(65, 163),     -0.23817,       -0.23817
(334, 414),     -0.23804,       -0.23804
(254, 282),     -0.23729,       -0.23729
(253, 260),     -0.23715,       -0.23715
(112, 306),     -0.23711,       -0.23711
(252, 387),     -0.23701,       -0.23701
(258, 286),     -0.23681,       -0.23681
(26, 110),     -0.23614,       -0.23614
(53, 70),     -0.23605,       -0.23605
(30, 110),     -0.23474,       -0.23474
(258, 381),     -0.23447,       -0.23447
(26, 52),     -0.23445,       -0.23445
(35, 56),     -0.23383,       -0.23383
(259, 414),     -0.23363,       -0.23363
(7, 29),     -0.23359,       -0.23359
(359, 374),     -0.23235,       -0.23235
(381, 386),     -0.23153,       -0.23153
(286, 463),     -0.23151,       -0.23151
(388, 463),     -0.23114,       -0.23114
(156, 287),     -0.2307,       -0.2307
(130, 163),     -0.23037,       -0.23037
(380, 466),     -0.2299,       -0.2299
(29, 173),     -0.22956,       -0.22956
(388, 390),     -0.22948,       -0.22948
(52, 133),     -0.22923,       -0.22923
(252, 334),     -0.22885,       -0.22885
(133, 163),     -0.22866,       -0.22866
(362, 385),     -0.22852,       -0.22852
(27, 112),     -0.22848,       -0.22848
(258, 341),     -0.22631,       -0.22631
(22, 308),     -0.22629,       -0.22629
(249, 283),     -0.22591,       -0.22591
(53, 163),     -0.2259,       -0.2259
(30, 173),     -0.22585,       -0.22585
(52, 287),     -0.22579,       -0.22579
(252, 283),     -0.22577,       -0.22577
(65, 190),     -0.22571,       -0.22571
(254, 388),     -0.2253,       -0.2253
(190, 292),     -0.22432,       -0.22432
(193, 306),     -0.22402,       -0.22402
(258, 362),     -0.22374,       -0.22374
(253, 387),     -0.2232,       -0.2232
(254, 466),     -0.22228,       -0.22228
(252, 466),     -0.22218,       -0.22218
(65, 144),     -0.22217,       -0.22217
(243, 291),     -0.22182,       -0.22182
(28, 130),     -0.22177,       -0.22177
(258, 380),     -0.22175,       -0.22175
(193, 291),     -0.22059,       -0.22059
(110, 160),     -0.22025,       -0.22025
(296, 381),     -0.22023,       -0.22023
(293, 374),     -0.21844,       -0.21844
(249, 282),     -0.21841,       -0.21841
(276, 374),     -0.21829,       -0.21829
(35, 327),     -0.21814,       -0.21814
(257, 286),     -0.21814,       -0.21814
(46, 327),     -0.21798,       -0.21798
(157, 246),     -0.21796,       -0.21796
(25, 154),     -0.21796,       -0.21796
(130, 173),     -0.21774,       -0.21774
(295, 296),     -0.21651,       -0.21651
(158, 161),     -0.21648,       -0.21648
(254, 255),     -0.21634,       -0.21634
(295, 362),     -0.21621,       -0.21621
(258, 414),     -0.21561,       -0.21561
(53, 327),     -0.21532,       -0.21532
(193, 292),     -0.21523,       -0.21523
(258, 382),     -0.21518,       -0.21518
(253, 257),     -0.21515,       -0.21515
(296, 382),     -0.21474,       -0.21474
(53, 153),     -0.21441,       -0.21441
(157, 158),     -0.21403,       -0.21403
(22, 52),     -0.21339,       -0.21339
(35, 173),     -0.21319,       -0.21319
(133, 291),     -0.21262,       -0.21262
(27, 153),     -0.21217,       -0.21217
(156, 327),     -0.2117,       -0.2117
(105, 287),     -0.21071,       -0.21071
(130, 145),     -0.21069,       -0.21069
