Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(110, 381),     0.63741,       0.67133,       0.46002,       0.75308,       0.49388,       0.4388,       0.57575
(7, 258),     0.73907,       0.67128,       0.46377,       0.6396,       0.50751,       0.42931,       0.57509
(24, 380),     0.59666,       0.65179,       0.54787,       0.6974,       0.48895,       0.46652,       0.57487
(247, 336),     0.66549,       0.64573,       0.55802,       0.73623,       0.37702,       0.46379,       0.57438
(159, 296),     0.5914,       0.74922,       0.55793,       0.69618,       0.36507,       0.47957,       0.57323
(306, 327),     0.57079,       0.66643,       0.45796,       0.73365,       0.5454,       0.46038,       0.57244
(130, 286),     0.78008,       0.68898,       0.39684,       0.7144,       0.43276,       0.4216,       0.57244
(35, 386),     0.78691,       0.60811,       0.50175,       0.70671,       0.45142,       0.3729,       0.5713
(56, 160),     0.61656,       0.57805,       0.50189,       0.75997,       0.56449,       0.40073,       0.57028
(33, 258),     0.77394,       0.6383,       0.42088,       0.67918,       0.47815,       0.42229,       0.56879
(107, 160),     0.48461,       0.57718,       0.65816,       0.67814,       0.47171,       0.53926,       0.56818
(98, 292),     0.70267,       0.49028,       0.60783,       0.53989,       0.65541,       0.41214,       0.56804
(28, 161),     0.66247,       0.69234,       0.52342,       0.63098,       0.54051,       0.35744,       0.56786
(25, 295),     0.68281,       0.75518,       0.5437,       0.58237,       0.36862,       0.47428,       0.56783
(24, 258),     0.63427,       0.76801,       0.58453,       0.46408,       0.47135,       0.48457,       0.5678
(158, 336),     0.57116,       0.73285,       0.55922,       0.77668,       0.30057,       0.46516,       0.56761
(33, 295),     0.74714,       0.71621,       0.47986,       0.64229,       0.3901,       0.42484,       0.56674
(161, 334),     0.56933,       0.73776,       0.57349,       0.60654,       0.40428,       0.50696,       0.56639
(158, 285),     0.71017,       0.73013,       0.40412,       0.83239,       0.34384,       0.37512,       0.56596
(163, 336),     0.53408,       0.77943,       0.58501,       0.62817,       0.35546,       0.51152,       0.56561
(163, 258),     0.69677,       0.68985,       0.50757,       0.55802,       0.5055,       0.43209,       0.56497
(55, 130),     0.69595,       0.58932,       0.6123,       0.59351,       0.47029,       0.42608,       0.56458
(35, 258),     0.77953,       0.62821,       0.5525,       0.64658,       0.44303,       0.33512,       0.56416
(24, 381),     0.58229,       0.64948,       0.51999,       0.6917,       0.50605,       0.43336,       0.56381
(246, 334),     0.5786,       0.75414,       0.55189,       0.61133,       0.38744,       0.49822,       0.5636
(35, 257),     0.76143,       0.66916,       0.53994,       0.59707,       0.43074,       0.38193,       0.56338
(163, 286),     0.74463,       0.61772,       0.53304,       0.54195,       0.54675,       0.3944,       0.56308
(7, 286),     0.76738,       0.60169,       0.47994,       0.60846,       0.53286,       0.38655,       0.56281
(24, 386),     0.65981,       0.65622,       0.4846,       0.64857,       0.5338,       0.39318,       0.5627
(33, 107),     0.45836,       0.64558,       0.62462,       0.67078,       0.44218,       0.53085,       0.56206
(161, 282),     0.6898,       0.69954,       0.52232,       0.55808,       0.43109,       0.46687,       0.56128
(23, 414),     0.57941,       0.6935,       0.60666,       0.55224,       0.4936,       0.43441,       0.55997
(35, 259),     0.7342,       0.68206,       0.53311,       0.57259,       0.42712,       0.40972,       0.5598
(160, 282),     0.655,       0.69599,       0.53946,       0.55956,       0.43148,       0.47504,       0.55942
(25, 387),     0.59984,       0.62008,       0.43043,       0.71189,       0.53489,       0.45474,       0.55864
(110, 257),     0.62684,       0.73677,       0.5346,       0.48393,       0.47401,       0.49352,       0.55828
(25, 259),     0.62027,       0.71208,       0.47771,       0.5535,       0.47313,       0.51117,       0.55798
(35, 385),     0.8021,       0.58633,       0.49008,       0.69216,       0.44571,       0.32707,       0.55724
(25, 296),     0.55597,       0.77475,       0.57224,       0.60084,       0.3304,       0.5087,       0.55715
(110, 173),     0.55261,       0.64559,       0.53945,       0.58638,       0.49252,       0.52286,       0.55657
(23, 385),     0.64683,       0.62804,       0.51667,       0.6554,       0.51067,       0.37814,       0.55596
(110, 387),     0.60389,       0.64185,       0.45143,       0.65815,       0.54434,       0.43568,       0.55589
(110, 382),     0.58188,       0.62292,       0.41872,       0.77394,       0.50606,       0.42579,       0.55489
(246, 282),     0.69045,       0.71487,       0.49709,       0.56059,       0.40868,       0.45665,       0.55472
(23, 384),     0.61812,       0.59654,       0.5502,       0.63351,       0.52158,       0.40626,       0.55437
(98, 306),     0.70532,       0.47224,       0.58193,       0.54258,       0.62674,       0.39207,       0.55348
(35, 286),     0.79323,       0.60091,       0.53551,       0.64846,       0.45339,       0.28297,       0.55241
(144, 286),     0.7098,       0.62463,       0.57882,       0.45929,       0.53614,       0.40428,       0.55216
(24, 463),     0.57117,       0.62247,       0.48723,       0.7208,       0.51574,       0.39523,       0.55211
(160, 334),     0.51624,       0.71385,       0.58162,       0.59936,       0.39121,       0.50987,       0.55202
(130, 257),     0.70087,       0.70777,       0.3786,       0.63944,       0.40214,       0.48035,       0.55153
(130, 296),     0.62107,       0.75127,       0.51454,       0.64987,       0.31384,       0.45769,       0.55138
(291, 327),     0.58411,       0.66285,       0.42068,       0.73419,       0.47176,       0.43268,       0.55105
(61, 98),     0.46919,       0.79157,       0.32436,       0.75198,       0.54132,       0.42631,       0.55079
(76, 98),     0.47075,       0.79158,       0.32422,       0.74704,       0.54498,       0.42521,       0.55063
(62, 98),     0.46857,       0.78945,       0.33159,       0.74085,       0.54909,       0.42405,       0.5506
(145, 285),     0.55884,       0.77641,       0.62281,       0.51036,       0.32501,       0.50987,       0.55055
(7, 295),     0.66591,       0.73767,       0.51219,       0.55635,       0.38303,       0.44752,       0.55044
(28, 160),     0.61978,       0.63007,       0.53212,       0.64321,       0.51411,       0.36323,       0.55042
(25, 398),     0.65335,       0.6064,       0.33878,       0.81629,       0.48796,       0.39963,       0.5504
(110, 144),     0.73356,       0.61203,       0.47048,       0.63196,       0.41178,       0.44224,       0.55034
(33, 334),     0.55401,       0.76967,       0.52849,       0.59899,       0.3632,       0.48419,       0.54976
(110, 463),     0.60681,       0.61807,       0.40847,       0.77215,       0.50118,       0.38818,       0.54914
(57, 98),     0.46358,       0.68437,       0.36898,       0.7178,       0.55266,       0.50643,       0.54897
(33, 257),     0.72447,       0.61423,       0.39406,       0.64485,       0.47012,       0.44437,       0.54868
(130, 295),     0.70537,       0.74238,       0.47387,       0.61423,       0.32139,       0.43159,       0.54814
(78, 98),     0.46051,       0.78753,       0.33336,       0.73675,       0.54697,       0.42186,       0.54783
(246, 258),     0.74755,       0.54867,       0.42782,       0.63775,       0.50264,       0.41531,       0.54662
(7, 257),     0.67203,       0.64503,       0.43635,       0.58931,       0.48912,       0.44776,       0.5466
(246, 283),     0.5863,       0.66784,       0.497,       0.58515,       0.44172,       0.50063,       0.54644
(35, 466),     0.66969,       0.56221,       0.48219,       0.65513,       0.47279,       0.43603,       0.54634
(144, 258),     0.64822,       0.70277,       0.55219,       0.46028,       0.47353,       0.43965,       0.54611
