Comparing the following files: 
krithika_front_s3_v1/groups,  krithika_low_s3_v1/groups,  krithika_threequarter_s3_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s3_v1groups_vs_krithika_low_s3_v1groups,  krithika_front_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  krithika_low_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  average
(65, 405),     0.81074,       0.90055,       0.80968,       0.84032
(105, 402),     0.83168,       0.90136,       0.78749,       0.84018
(0, 146),     0.83598,       0.91891,       0.76561,       0.84017
(81, 178),     0.84689,       0.93888,       0.73388,       0.83988
(14, 312),     0.8551,       0.92627,       0.7374,       0.83959
(270, 314),     0.83374,       0.917,       0.7677,       0.83948
(327, 405),     0.8352,       0.91277,       0.76988,       0.83928
(13, 181),     0.83842,       0.93777,       0.74047,       0.83889
(17, 311),     0.84206,       0.92946,       0.74481,       0.83878
(61, 185),     0.82716,       0.91779,       0.77106,       0.83867
(82, 317),     0.84934,       0.92126,       0.74355,       0.83805
(312, 317),     0.8412,       0.94087,       0.73173,       0.83793
(17, 80),     0.8423,       0.9135,       0.7571,       0.83763
(13, 14),     0.8414,       0.94004,       0.73132,       0.83759
(80, 146),     0.84247,       0.93559,       0.73417,       0.83741
(17, 98),     0.83021,       0.9072,       0.77451,       0.83731
(66, 318),     0.8314,       0.88619,       0.79402,       0.8372
(181, 312),     0.83647,       0.9353,       0.73967,       0.83715
(82, 87),     0.84124,       0.94029,       0.72979,       0.83711
(13, 402),     0.84427,       0.92928,       0.73747,       0.83701
(105, 317),     0.8202,       0.91175,       0.77859,       0.83685
(311, 317),     0.85433,       0.91969,       0.73632,       0.83678
(82, 91),     0.83742,       0.9375,       0.73531,       0.83674
(40, 76),     0.82676,       0.9143,       0.76909,       0.83672
(84, 311),     0.8398,       0.92664,       0.74316,       0.83653
(318, 327),     0.85315,       0.90172,       0.75418,       0.83635
(324, 327),     0.85591,       0.88808,       0.76505,       0.83635
(55, 405),     0.78966,       0.90126,       0.8177,       0.83621
(39, 78),     0.83213,       0.90337,       0.77233,       0.83594
(107, 405),     0.78564,       0.8971,       0.825,       0.83591
(80, 95),     0.8541,       0.92142,       0.73171,       0.83574
(312, 318),     0.84543,       0.92515,       0.7364,       0.83566
(88, 269),     0.84031,       0.90619,       0.76038,       0.83563
(81, 88),     0.8499,       0.92716,       0.72974,       0.8356
(14, 98),     0.84527,       0.91112,       0.74981,       0.8354
(65, 317),     0.81264,       0.91429,       0.77903,       0.83532
(13, 87),     0.84846,       0.92626,       0.73091,       0.83521
(87, 312),     0.85293,       0.91613,       0.73626,       0.83511
(81, 87),     0.84178,       0.92293,       0.73907,       0.83459
(0, 375),     0.8488,       0.88961,       0.76482,       0.83441
(107, 402),     0.80501,       0.90103,       0.79604,       0.83403
(181, 311),     0.83288,       0.92708,       0.74145,       0.8338
(95, 267),     0.84343,       0.8976,       0.76015,       0.83373
(52, 402),     0.82468,       0.90027,       0.77441,       0.83312
(39, 62),     0.83009,       0.90015,       0.76809,       0.83278
(66, 321),     0.82344,       0.8695,       0.80486,       0.8326
(55, 402),     0.8068,       0.9046,       0.7861,       0.8325
(66, 314),     0.78036,       0.90358,       0.81315,       0.83236
(105, 405),     0.81954,       0.88016,       0.79628,       0.83199
(82, 178),     0.84342,       0.92889,       0.72337,       0.83189
(84, 98),     0.83183,       0.90158,       0.76217,       0.83186
(98, 181),     0.84164,       0.89754,       0.75601,       0.83173
(146, 267),     0.82487,       0.90947,       0.76054,       0.83163
(52, 317),     0.81483,       0.90919,       0.76964,       0.83122
(13, 91),     0.83092,       0.93172,       0.73074,       0.83113
(14, 40),     0.85143,       0.90233,       0.73873,       0.83083
(17, 270),     0.82573,       0.90937,       0.75543,       0.83018
(310, 314),     0.83496,       0.91163,       0.74273,       0.82977
(87, 98),     0.84314,       0.90724,       0.73763,       0.82934
(14, 270),     0.83966,       0.90348,       0.74403,       0.82906
(14, 66),     0.79682,       0.91522,       0.77442,       0.82882
(81, 405),     0.8511,       0.89692,       0.73699,       0.82834
(91, 312),     0.8247,       0.92922,       0.73087,       0.82826
(40, 314),     0.83478,       0.91084,       0.73825,       0.82796
(52, 405),     0.81283,       0.88277,       0.78749,       0.8277
(311, 324),     0.84625,       0.90508,       0.7316,       0.82764
