Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(163, 308),     -0.27322,       -0.27322
(53, 112),     -0.27285,       -0.27285
(163, 247),     -0.27251,       -0.27251
(70, 253),     -0.27031,       -0.27031
(70, 105),     -0.26998,       -0.26998
(63, 193),     -0.26957,       -0.26957
(353, 373),     -0.26947,       -0.26947
(33, 62),     -0.26941,       -0.26941
(33, 78),     -0.26873,       -0.26873
(25, 76),     -0.26842,       -0.26842
(33, 76),     -0.26816,       -0.26816
(353, 380),     -0.26804,       -0.26804
(163, 306),     -0.26751,       -0.26751
(414, 417),     -0.26751,       -0.26751
(25, 61),     -0.26713,       -0.26713
(25, 62),     -0.26625,       -0.26625
(33, 61),     -0.26597,       -0.26597
(154, 156),     -0.2656,       -0.2656
(258, 285),     -0.26508,       -0.26508
(300, 385),     -0.26485,       -0.26485
(25, 158),     -0.26455,       -0.26455
(158, 276),     -0.26359,       -0.26359
(28, 287),     -0.26344,       -0.26344
(25, 78),     -0.2633,       -0.2633
(63, 341),     -0.26266,       -0.26266
(158, 327),     -0.26227,       -0.26227
(259, 276),     -0.26223,       -0.26223
(46, 155),     -0.26164,       -0.26164
(353, 374),     -0.25995,       -0.25995
(160, 246),     -0.25942,       -0.25942
(159, 246),     -0.2591,       -0.2591
(159, 300),     -0.25871,       -0.25871
(276, 463),     -0.25789,       -0.25789
(28, 306),     -0.25427,       -0.25427
(256, 353),     -0.25321,       -0.25321
(258, 300),     -0.25305,       -0.25305
(110, 306),     -0.2518,       -0.2518
(29, 287),     -0.25118,       -0.25118
(112, 156),     -0.25112,       -0.25112
(276, 384),     -0.25092,       -0.25092
(55, 334),     -0.25091,       -0.25091
(63, 463),     -0.25077,       -0.25077
(78, 156),     -0.25027,       -0.25027
(124, 153),     -0.25007,       -0.25007
(7, 158),     -0.25002,       -0.25002
(52, 53),     -0.24869,       -0.24869
(353, 381),     -0.24853,       -0.24853
(110, 417),     -0.2484,       -0.2484
(46, 66),     -0.24752,       -0.24752
(62, 156),     -0.2475,       -0.2475
(55, 293),     -0.24669,       -0.24669
(300, 463),     -0.24605,       -0.24605
(65, 287),     -0.24567,       -0.24567
(124, 145),     -0.24527,       -0.24527
(153, 417),     -0.24425,       -0.24425
(293, 295),     -0.24408,       -0.24408
(66, 287),     -0.24362,       -0.24362
(260, 398),     -0.24356,       -0.24356
(252, 353),     -0.24315,       -0.24315
(65, 291),     -0.24133,       -0.24133
(145, 417),     -0.2411,       -0.2411
(76, 156),     -0.241,       -0.241
(24, 292),     -0.24097,       -0.24097
(260, 384),     -0.24087,       -0.24087
(359, 390),     -0.24075,       -0.24075
(144, 417),     -0.24058,       -0.24058
(7, 76),     -0.24037,       -0.24037
(359, 388),     -0.24008,       -0.24008
(24, 308),     -0.23998,       -0.23998
(7, 61),     -0.23958,       -0.23958
(63, 256),     -0.23905,       -0.23905
(22, 130),     -0.23875,       -0.23875
(7, 62),     -0.23874,       -0.23874
(300, 382),     -0.23861,       -0.23861
(157, 300),     -0.23852,       -0.23852
(257, 296),     -0.23816,       -0.23816
(29, 107),     -0.23798,       -0.23798
(163, 291),     -0.23772,       -0.23772
(7, 78),     -0.23761,       -0.23761
(61, 156),     -0.23694,       -0.23694
(144, 292),     -0.23694,       -0.23694
(61, 247),     -0.23662,       -0.23662
(76, 247),     -0.23624,       -0.23624
(62, 247),     -0.23531,       -0.23531
(78, 287),     -0.23482,       -0.23482
(258, 336),     -0.2347,       -0.2347
(26, 30),     -0.2344,       -0.2344
(78, 247),     -0.23421,       -0.23421
(52, 327),     -0.2341,       -0.2341
(254, 383),     -0.23362,       -0.23362
(160, 327),     -0.23351,       -0.23351
(46, 133),     -0.23316,       -0.23316
(22, 70),     -0.23293,       -0.23293
(276, 382),     -0.23173,       -0.23173
(56, 287),     -0.2316,       -0.2316
(27, 287),     -0.23095,       -0.23095
(353, 362),     -0.23094,       -0.23094
(153, 247),     -0.23013,       -0.23013
(124, 144),     -0.22996,       -0.22996
(28, 247),     -0.22906,       -0.22906
(53, 155),     -0.22899,       -0.22899
(383, 398),     -0.22847,       -0.22847
(144, 308),     -0.22765,       -0.22765
(28, 292),     -0.22763,       -0.22763
(159, 276),     -0.22759,       -0.22759
(62, 287),     -0.22712,       -0.22712
(159, 327),     -0.2262,       -0.2262
(153, 193),     -0.22613,       -0.22613
(66, 291),     -0.22577,       -0.22577
(130, 256),     -0.2253,       -0.2253
(156, 341),     -0.22476,       -0.22476
(190, 417),     -0.22443,       -0.22443
(56, 63),     -0.22417,       -0.22417
(33, 252),     -0.22416,       -0.22416
(193, 287),     -0.22407,       -0.22407
(63, 173),     -0.22296,       -0.22296
(98, 161),     -0.22221,       -0.22221
(243, 327),     -0.22092,       -0.22092
(154, 417),     -0.22082,       -0.22082
(130, 163),     -0.21985,       -0.21985
(33, 158),     -0.21936,       -0.21936
(26, 291),     -0.2193,       -0.2193
(35, 110),     -0.21768,       -0.21768
(63, 98),     -0.21692,       -0.21692
(144, 306),     -0.21624,       -0.21624
(153, 306),     -0.21596,       -0.21596
(70, 254),     -0.21595,       -0.21595
(124, 252),     -0.21567,       -0.21567
(33, 159),     -0.2156,       -0.2156
(190, 193),     -0.21541,       -0.21541
(70, 381),     -0.21481,       -0.21481
(145, 292),     -0.21436,       -0.21436
(112, 287),     -0.21394,       -0.21394
(26, 63),     -0.21384,       -0.21384
(24, 163),     -0.21372,       -0.21372
(98, 145),     -0.21264,       -0.21264
(153, 291),     -0.21248,       -0.21248
(76, 287),     -0.21244,       -0.21244
(63, 362),     -0.21242,       -0.21242
(46, 243),     -0.21215,       -0.21215
(7, 23),     -0.21156,       -0.21156
(373, 383),     -0.21113,       -0.21113
(124, 154),     -0.2108,       -0.2108
(155, 417),     -0.21026,       -0.21026
(33, 253),     -0.21016,       -0.21016
(26, 287),     -0.2101,       -0.2101
(153, 292),     -0.20921,       -0.20921
(341, 381),     -0.20893,       -0.20893
(105, 243),     -0.20879,       -0.20879
(23, 30),     -0.20842,       -0.20842
(154, 291),     -0.20834,       -0.20834
(145, 308),     -0.20789,       -0.20789
(70, 382),     -0.20756,       -0.20756
(70, 153),     -0.20751,       -0.20751
(110, 291),     -0.20744,       -0.20744
(23, 98),     -0.20736,       -0.20736
(35, 253),     -0.20708,       -0.20708
(24, 306),     -0.20637,       -0.20637
(300, 386),     -0.20633,       -0.20633
(65, 306),     -0.20611,       -0.20611
(70, 463),     -0.20594,       -0.20594
(70, 173),     -0.20593,       -0.20593
(28, 308),     -0.20561,       -0.20561
(7, 130),     -0.20516,       -0.20516
(24, 35),     -0.20506,       -0.20506
(70, 417),     -0.20481,       -0.20481
(253, 383),     -0.20464,       -0.20464
(62, 246),     -0.20458,       -0.20458
(78, 246),     -0.20437,       -0.20437
(53, 190),     -0.20414,       -0.20414
(76, 246),     -0.20313,       -0.20313
(78, 327),     -0.20295,       -0.20295
(26, 29),     -0.20287,       -0.20287
(22, 292),     -0.20282,       -0.20282
(300, 381),     -0.20278,       -0.20278
(145, 306),     -0.20232,       -0.20232
(23, 308),     -0.20232,       -0.20232
(145, 193),     -0.20224,       -0.20224
(28, 98),     -0.2021,       -0.2021
(30, 153),     -0.202,       -0.202
(383, 467),     -0.20166,       -0.20166
(30, 107),     -0.20156,       -0.20156
(61, 246),     -0.20138,       -0.20138
(26, 306),     -0.20116,       -0.20116
(105, 327),     -0.20103,       -0.20103
(155, 287),     -0.20082,       -0.20082
(154, 287),     -0.2005,       -0.2005
(98, 327),     -0.20006,       -0.20006
(23, 292),     -0.19993,       -0.19993
(22, 308),     -0.19981,       -0.19981
(353, 382),     -0.19922,       -0.19922
(153, 308),     -0.19865,       -0.19865
(22, 306),     -0.1981,       -0.1981
(163, 417),     -0.19788,       -0.19788
(78, 124),     -0.19707,       -0.19707
(124, 253),     -0.19694,       -0.19694
(359, 466),     -0.19651,       -0.19651
(53, 66),     -0.19621,       -0.19621
(53, 417),     -0.19594,       -0.19594
(62, 124),     -0.19589,       -0.19589
(341, 353),     -0.19495,       -0.19495
(61, 110),     -0.19494,       -0.19494
(190, 287),     -0.19368,       -0.19368
(76, 110),     -0.19327,       -0.19327
(63, 252),     -0.19327,       -0.19327
(193, 291),     -0.19222,       -0.19222
(25, 417),     -0.19215,       -0.19215
(46, 107),     -0.19213,       -0.19213
(112, 417),     -0.19202,       -0.19202
(76, 124),     -0.19184,       -0.19184
(35, 252),     -0.19148,       -0.19148
(63, 154),     -0.1912,       -0.1912
(25, 253),     -0.19083,       -0.19083
(257, 300),     -0.19079,       -0.19079
(63, 398),     -0.19076,       -0.19076
(98, 160),     -0.19056,       -0.19056
(257, 276),     -0.19019,       -0.19019
(253, 353),     -0.18979,       -0.18979
(61, 124),     -0.18947,       -0.18947
(35, 254),     -0.18916,       -0.18916
(33, 160),     -0.18898,       -0.18898
(157, 276),     -0.18881,       -0.18881
(252, 383),     -0.18858,       -0.18858
(26, 417),     -0.18836,       -0.18836
(144, 291),     -0.18832,       -0.18832
(62, 110),     -0.18816,       -0.18816
(387, 467),     -0.18763,       -0.18763
(61, 163),     -0.18762,       -0.18762
(66, 306),     -0.18695,       -0.18695
(300, 341),     -0.1869,       -0.1869
(156, 381),     -0.18689,       -0.18689
(359, 384),     -0.18647,       -0.18647
(124, 256),     -0.18637,       -0.18637
(76, 163),     -0.18636,       -0.18636
(35, 159),     -0.18623,       -0.18623
(78, 110),     -0.18601,       -0.18601
(112, 124),     -0.18542,       -0.18542
(154, 306),     -0.18539,       -0.18539
(22, 291),     -0.18536,       -0.18536
(35, 190),     -0.18471,       -0.18471
(70, 193),     -0.1847,       -0.1847
(105, 190),     -0.1842,       -0.1842
(158, 383),     -0.18406,       -0.18406
(56, 291),     -0.18359,       -0.18359
(62, 327),     -0.18349,       -0.18349
(30, 61),     -0.18336,       -0.18336
(362, 467),     -0.18292,       -0.18292
(285, 293),     -0.18289,       -0.18289
(62, 163),     -0.18275,       -0.18275
(63, 382),     -0.18262,       -0.18262
(145, 291),     -0.1825,       -0.1825
(78, 163),     -0.18236,       -0.18236
(30, 76),     -0.18198,       -0.18198
(30, 78),     -0.18174,       -0.18174
(61, 287),     -0.18171,       -0.18171
(30, 62),     -0.1814,       -0.1814
(35, 158),     -0.18123,       -0.18123
(53, 98),     -0.18113,       -0.18113
(70, 362),     -0.18067,       -0.18067
(243, 287),     -0.18052,       -0.18052
(65, 292),     -0.17961,       -0.17961
(53, 65),     -0.17935,       -0.17935
(70, 380),     -0.17892,       -0.17892
(26, 193),     -0.17868,       -0.17868
(105, 156),     -0.17816,       -0.17816
(25, 157),     -0.17689,       -0.17689
(339, 374),     -0.17686,       -0.17686
(133, 287),     -0.17656,       -0.17656
(28, 417),     -0.17645,       -0.17645
(98, 157),     -0.17627,       -0.17627
(25, 252),     -0.17603,       -0.17603
(98, 158),     -0.17543,       -0.17543
(46, 256),     -0.1753,       -0.1753
(130, 353),     -0.1747,       -0.1747
(98, 159),     -0.17463,       -0.17463
(25, 159),     -0.17437,       -0.17437
(193, 306),     -0.17426,       -0.17426
(46, 65),     -0.17388,       -0.17388
(374, 383),     -0.17386,       -0.17386
(26, 292),     -0.17362,       -0.17362
(23, 306),     -0.1732,       -0.1732
(156, 247),     -0.17274,       -0.17274
(144, 193),     -0.17271,       -0.17271
(53, 105),     -0.17263,       -0.17263
(98, 153),     -0.17249,       -0.17249
(22, 46),     -0.17212,       -0.17212
(46, 252),     -0.17196,       -0.17196
(70, 190),     -0.17152,       -0.17152
(247, 252),     -0.1715,       -0.1715
(156, 380),     -0.17149,       -0.17149
(46, 52),     -0.17122,       -0.17122
(35, 256),     -0.17103,       -0.17103
(55, 287),     -0.17057,       -0.17057
(359, 387),     -0.17006,       -0.17006
(30, 145),     -0.16974,       -0.16974
(24, 291),     -0.16861,       -0.16861
(353, 414),     -0.16846,       -0.16846
(130, 339),     -0.16813,       -0.16813
(63, 414),     -0.16785,       -0.16785
(53, 193),     -0.16702,       -0.16702
(110, 193),     -0.1667,       -0.1667
(7, 252),     -0.16624,       -0.16624
(23, 35),     -0.16567,       -0.16567
(7, 190),     -0.16566,       -0.16566
(353, 463),     -0.16515,       -0.16515
(7, 157),     -0.16471,       -0.16471
(155, 243),     -0.16443,       -0.16443
(66, 70),     -0.16415,       -0.16415
(57, 287),     -0.1641,       -0.1641
(23, 25),     -0.16354,       -0.16354
(62, 161),     -0.16352,       -0.16352
(78, 161),     -0.16348,       -0.16348
(276, 381),     -0.1634,       -0.1634
(76, 161),     -0.16279,       -0.16279
(61, 161),     -0.16265,       -0.16265
(46, 153),     -0.16122,       -0.16122
(28, 63),     -0.16108,       -0.16108
(27, 193),     -0.16075,       -0.16075
(35, 57),     -0.16063,       -0.16063
(158, 160),     -0.16053,       -0.16053
(33, 157),     -0.16051,       -0.16051
(26, 308),     -0.15942,       -0.15942
(247, 253),     -0.15895,       -0.15895
(193, 292),     -0.15879,       -0.15879
(382, 467),     -0.15868,       -0.15868
(65, 308),     -0.15839,       -0.15839
(66, 292),     -0.15816,       -0.15816
(193, 308),     -0.15798,       -0.15798
(23, 110),     -0.15719,       -0.15719
(293, 300),     -0.15693,       -0.15693
(276, 341),     -0.15664,       -0.15664
(112, 291),     -0.15618,       -0.15618
(7, 156),     -0.15536,       -0.15536
(260, 385),     -0.15507,       -0.15507
(105, 133),     -0.15437,       -0.15437
(154, 292),     -0.15393,       -0.15393
(130, 144),     -0.15357,       -0.15357
(107, 287),     -0.15353,       -0.15353
(130, 380),     -0.15279,       -0.15279
(285, 386),     -0.15261,       -0.15261
(380, 383),     -0.15248,       -0.15248
(27, 107),     -0.15246,       -0.15246
(7, 24),     -0.15239,       -0.15239
(257, 463),     -0.15228,       -0.15228
(155, 291),     -0.15179,       -0.15179
(57, 327),     -0.15106,       -0.15106
(155, 156),     -0.15061,       -0.15061
(55, 300),     -0.14931,       -0.14931
(158, 353),     -0.14912,       -0.14912
(7, 253),     -0.14912,       -0.14912
(300, 387),     -0.14847,       -0.14847
(295, 334),     -0.1482,       -0.1482
(107, 156),     -0.14809,       -0.14809
(157, 383),     -0.14776,       -0.14776
(25, 156),     -0.14764,       -0.14764
(381, 467),     -0.14718,       -0.14718
(56, 306),     -0.14703,       -0.14703
(33, 254),     -0.14699,       -0.14699
(98, 154),     -0.14666,       -0.14666
(156, 382),     -0.14653,       -0.14653
(258, 463),     -0.14651,       -0.14651
(260, 362),     -0.14644,       -0.14644
(336, 386),     -0.14601,       -0.14601
(130, 265),     -0.1459,       -0.1459
(55, 296),     -0.14587,       -0.14587
(55, 65),     -0.14562,       -0.14562
(63, 381),     -0.14521,       -0.14521
(25, 254),     -0.14479,       -0.14479
(124, 254),     -0.14478,       -0.14478
(70, 398),     -0.14467,       -0.14467
(256, 383),     -0.14441,       -0.14441
(130, 374),     -0.14421,       -0.14421
(27, 173),     -0.14418,       -0.14418
(66, 156),     -0.14382,       -0.14382
(23, 291),     -0.14337,       -0.14337
(22, 35),     -0.14269,       -0.14269
(76, 327),     -0.14256,       -0.14256
(339, 380),     -0.14231,       -0.14231
(53, 107),     -0.14228,       -0.14228
(24, 417),     -0.14216,       -0.14216
(57, 98),     -0.1415,       -0.1415
(61, 144),     -0.14136,       -0.14136
(29, 112),     -0.14101,       -0.14101
(252, 254),     -0.14082,       -0.14082
(46, 341),     -0.13981,       -0.13981
(156, 374),     -0.1396,       -0.1396
(66, 308),     -0.13914,       -0.13914
(157, 353),     -0.13836,       -0.13836
(61, 160),     -0.13827,       -0.13827
(33, 256),     -0.13813,       -0.13813
(156, 339),     -0.13801,       -0.13801
(105, 417),     -0.13743,       -0.13743
(76, 144),     -0.13658,       -0.13658
(56, 98),     -0.13612,       -0.13612
(76, 160),     -0.13574,       -0.13574
(154, 308),     -0.13559,       -0.13559
(35, 417),     -0.13544,       -0.13544
(255, 353),     -0.13535,       -0.13535
(62, 160),     -0.13524,       -0.13524
(78, 160),     -0.13511,       -0.13511
(130, 381),     -0.13511,       -0.13511
(300, 380),     -0.13498,       -0.13498
(254, 256),     -0.13475,       -0.13475
(22, 145),     -0.13465,       -0.13465
(22, 417),     -0.13432,       -0.13432
(30, 154),     -0.13349,       -0.13349
(24, 61),     -0.13177,       -0.13177
(157, 246),     -0.13045,       -0.13045
(291, 417),     -0.13043,       -0.13043
(253, 254),     -0.13032,       -0.13032
(61, 62),     -0.13031,       -0.13031
(359, 385),     -0.13018,       -0.13018
(62, 144),     -0.12944,       -0.12944
(78, 144),     -0.12943,       -0.12943
(29, 61),     -0.12914,       -0.12914
(29, 78),     -0.12771,       -0.12771
(98, 308),     -0.12688,       -0.12688
(98, 173),     -0.12678,       -0.12678
(23, 33),     -0.12653,       -0.12653
(29, 76),     -0.12615,       -0.12615
(29, 62),     -0.12605,       -0.12605
(35, 341),     -0.12593,       -0.12593
