Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(282, 384),     -0.24383,       -0.24383
(55, 327),     -0.2437,       -0.2437
(255, 296),     -0.24266,       -0.24266
(246, 334),     -0.24182,       -0.24182
(76, 390),     -0.24174,       -0.24174
(285, 466),     -0.24108,       -0.24108
(255, 293),     -0.2403,       -0.2403
(29, 46),     -0.24023,       -0.24023
(24, 154),     -0.24017,       -0.24017
(159, 300),     -0.24002,       -0.24002
(257, 263),     -0.23966,       -0.23966
(246, 293),     -0.2391,       -0.2391
(246, 336),     -0.2388,       -0.2388
(76, 265),     -0.23838,       -0.23838
(246, 283),     -0.23838,       -0.23838
(22, 155),     -0.2377,       -0.2377
(30, 63),     -0.23757,       -0.23757
(25, 276),     -0.23727,       -0.23727
(62, 260),     -0.23712,       -0.23712
(98, 374),     -0.23712,       -0.23712
(249, 285),     -0.23651,       -0.23651
(24, 243),     -0.23646,       -0.23646
(76, 353),     -0.23633,       -0.23633
(300, 359),     -0.23593,       -0.23593
(78, 260),     -0.23582,       -0.23582
(161, 282),     -0.23578,       -0.23578
(66, 98),     -0.23554,       -0.23554
(70, 110),     -0.2352,       -0.2352
(157, 292),     -0.23457,       -0.23457
(30, 62),     -0.23438,       -0.23438
(27, 52),     -0.23416,       -0.23416
(61, 353),     -0.23388,       -0.23388
(25, 293),     -0.2338,       -0.2338
(62, 353),     -0.23346,       -0.23346
(246, 296),     -0.23346,       -0.23346
(161, 283),     -0.23227,       -0.23227
(160, 300),     -0.23174,       -0.23174
(158, 276),     -0.23162,       -0.23162
(246, 295),     -0.23154,       -0.23154
(33, 300),     -0.23154,       -0.23154
(124, 130),     -0.23153,       -0.23153
(160, 276),     -0.23151,       -0.23151
(30, 76),     -0.2315,       -0.2315
(263, 285),     -0.23102,       -0.23102
(257, 327),     -0.231,       -0.231
(78, 353),     -0.23075,       -0.23075
(25, 62),     -0.23068,       -0.23068
(62, 265),     -0.23065,       -0.23065
(30, 78),     -0.22915,       -0.22915
(78, 265),     -0.22914,       -0.22914
(33, 295),     -0.22893,       -0.22893
(33, 65),     -0.22861,       -0.22861
(161, 300),     -0.2285,       -0.2285
(65, 173),     -0.22843,       -0.22843
(24, 133),     -0.22788,       -0.22788
(158, 300),     -0.22782,       -0.22782
(25, 300),     -0.22737,       -0.22737
(293, 384),     -0.22727,       -0.22727
(246, 300),     -0.2269,       -0.2269
(254, 339),     -0.22643,       -0.22643
(161, 276),     -0.22636,       -0.22636
(46, 62),     -0.2263,       -0.2263
(161, 293),     -0.22569,       -0.22569
(27, 63),     -0.22518,       -0.22518
(25, 78),     -0.22466,       -0.22466
(293, 359),     -0.22419,       -0.22419
(30, 306),     -0.22398,       -0.22398
(33, 276),     -0.2239,       -0.2239
(46, 76),     -0.22363,       -0.22363
(26, 155),     -0.22353,       -0.22353
(25, 76),     -0.22342,       -0.22342
(246, 276),     -0.22339,       -0.22339
(110, 155),     -0.22309,       -0.22309
(66, 327),     -0.22295,       -0.22295
(30, 291),     -0.22283,       -0.22283
(161, 291),     -0.22253,       -0.22253
(255, 373),     -0.22213,       -0.22213
(263, 283),     -0.22196,       -0.22196
(246, 287),     -0.2219,       -0.2219
(62, 466),     -0.22189,       -0.22189
