Comparing the following files: 
kelly_front_s4_v2/,  kelly_low_s4_v2/,  kelly_right_threequarter_s4_v2/,  kelly_left_threequarter_s4_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s4_v2_vs_kelly_low_s4_v2,  kelly_front_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_front_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_right_threequarter_s4_v2_vs_kelly_left_threequarter_s4_v2,  average
(310, 405),     0.88705,       0.94176,       0.72815,       0.94864,       0.78323,       0.79944,       0.84804
(270, 375),     0.91573,       0.9403,       0.69305,       0.95924,       0.80822,       0.77106,       0.84793
(84, 98),     0.89305,       0.92872,       0.77291,       0.97633,       0.73796,       0.77579,       0.84746
(39, 87),     0.90587,       0.95416,       0.72629,       0.9638,       0.77731,       0.75717,       0.84743
(98, 405),     0.92783,       0.93401,       0.76085,       0.96053,       0.76299,       0.73447,       0.84678
(267, 402),     0.90374,       0.95358,       0.71023,       0.95966,       0.7834,       0.76886,       0.84658
(312, 321),     0.92221,       0.95817,       0.70721,       0.95491,       0.78553,       0.75141,       0.84657
(81, 91),     0.90882,       0.93614,       0.72006,       0.97084,       0.77247,       0.76553,       0.84564
(14, 39),     0.91352,       0.95447,       0.7197,       0.95807,       0.78755,       0.73749,       0.84513
(91, 185),     0.91932,       0.93606,       0.73578,       0.96166,       0.76046,       0.75288,       0.84436
(39, 178),     0.89662,       0.94603,       0.72853,       0.96484,       0.76711,       0.76156,       0.84412
(14, 267),     0.88819,       0.94214,       0.71521,       0.96025,       0.77543,       0.7792,       0.8434
(310, 375),     0.91316,       0.95459,       0.71868,       0.94433,       0.77656,       0.7527,       0.84334
(0, 402),     0.90613,       0.96095,       0.70046,       0.95335,       0.77725,       0.7588,       0.84282
(37, 402),     0.91381,       0.96357,       0.69818,       0.95231,       0.78469,       0.74433,       0.84281
(84, 311),     0.8981,       0.91817,       0.7053,       0.96905,       0.78598,       0.77307,       0.84161
(146, 191),     0.91595,       0.93316,       0.72757,       0.97136,       0.75175,       0.7463,       0.84102
(37, 178),     0.88568,       0.93545,       0.71708,       0.96515,       0.76781,       0.77155,       0.84045
(314, 327),     0.88236,       0.91606,       0.7633,       0.98105,       0.73778,       0.76081,       0.84023
(39, 317),     0.92036,       0.95464,       0.70912,       0.94593,       0.78967,       0.72057,       0.84005
(39, 321),     0.9243,       0.95019,       0.75338,       0.88935,       0.81077,       0.71138,       0.83989
(269, 402),     0.8877,       0.94127,       0.71117,       0.9573,       0.77032,       0.77139,       0.83986
(84, 107),     0.90616,       0.92512,       0.71867,       0.92068,       0.77907,       0.78316,       0.83881
(0, 87),     0.88358,       0.94129,       0.71175,       0.95942,       0.76248,       0.77375,       0.83871
(327, 405),     0.89267,       0.91618,       0.7627,       0.97679,       0.74029,       0.74244,       0.83851
(17, 80),     0.90314,       0.93644,       0.72839,       0.92232,       0.78135,       0.75932,       0.83849
(181, 312),     0.90493,       0.91228,       0.70487,       0.97274,       0.77776,       0.7579,       0.83841
(55, 84),     0.90877,       0.92527,       0.70715,       0.9293,       0.77729,       0.77692,       0.83745
(40, 88),     0.89469,       0.93516,       0.73654,       0.96307,       0.75283,       0.74204,       0.83739
(91, 191),     0.91152,       0.93055,       0.72045,       0.96625,       0.74313,       0.75241,       0.83739
(66, 84),     0.89825,       0.93235,       0.74156,       0.89572,       0.75723,       0.79768,       0.83713
(13, 321),     0.92699,       0.9609,       0.69218,       0.94982,       0.76683,       0.72404,       0.83679
(17, 270),     0.87966,       0.88983,       0.7308,       0.9458,       0.79528,       0.77932,       0.83678
(17, 327),     0.87491,       0.90949,       0.75878,       0.98207,       0.73306,       0.76122,       0.83659
(81, 405),     0.92519,       0.95395,       0.71292,       0.91483,       0.79083,       0.71818,       0.83598
(0, 91),     0.90318,       0.87992,       0.72361,       0.95669,       0.78707,       0.76229,       0.83546
(66, 181),     0.89494,       0.9193,       0.74179,       0.89871,       0.76167,       0.79479,       0.8352
(269, 317),     0.87739,       0.93425,       0.70828,       0.95525,       0.76529,       0.76826,       0.83479
(270, 318),     0.88273,       0.93755,       0.71192,       0.95336,       0.75912,       0.76224,       0.83449
(40, 146),     0.90232,       0.89332,       0.73193,       0.9542,       0.78981,       0.73482,       0.8344
(98, 181),     0.8769,       0.91519,       0.76471,       0.97761,       0.71154,       0.75886,       0.83413
(269, 375),     0.91095,       0.941,       0.66367,       0.95323,       0.78587,       0.7442,       0.83315
(17, 107),     0.90517,       0.93066,       0.70703,       0.91218,       0.76253,       0.77868,       0.83271
(107, 181),     0.90004,       0.90898,       0.71181,       0.9211,       0.77697,       0.77475,       0.83228
(17, 55),     0.90783,       0.9304,       0.69808,       0.91916,       0.76472,       0.77344,       0.83227
(39, 88),     0.88731,       0.91984,       0.72043,       0.96364,       0.76059,       0.74108,       0.83215
(193, 314),     0.89,       0.91549,       0.76942,       0.89125,       0.78801,       0.73839,       0.83209
(269, 318),     0.89462,       0.94176,       0.68574,       0.95402,       0.76466,       0.74908,       0.83165
(181, 269),     0.89895,       0.86541,       0.7185,       0.94814,       0.79533,       0.76293,       0.83154
(55, 181),     0.90282,       0.90915,       0.69994,       0.93216,       0.77472,       0.7687,       0.83125
(267, 318),     0.90547,       0.95418,       0.67377,       0.95118,       0.76841,       0.73293,       0.83099
(87, 267),     0.88026,       0.9225,       0.70098,       0.96024,       0.75967,       0.76159,       0.83087
(181, 185),     0.90307,       0.92819,       0.72131,       0.94058,       0.74876,       0.74211,       0.83067
(310, 314),     0.86782,       0.92056,       0.70343,       0.94878,       0.76282,       0.78002,       0.83057
(40, 178),     0.89714,       0.9452,       0.71264,       0.95929,       0.74554,       0.72322,       0.8305
(84, 193),     0.89677,       0.90466,       0.75313,       0.91419,       0.78171,       0.73067,       0.83019
(84, 327),     0.87131,       0.89689,       0.7525,       0.98546,       0.72432,       0.74673,       0.82953
(82, 91),     0.89993,       0.91382,       0.69642,       0.97015,       0.75797,       0.73886,       0.82952
(17, 193),     0.89351,       0.90808,       0.75957,       0.90377,       0.7821,       0.72941,       0.82941
(65, 84),     0.89946,       0.92371,       0.71873,       0.88891,       0.74929,       0.79013,       0.82837
(267, 375),     0.90715,       0.95211,       0.66932,       0.94075,       0.77239,       0.72749,       0.8282
(324, 409),     0.87088,       0.94025,       0.71546,       0.94836,       0.74313,       0.74893,       0.82783
(321, 409),     0.84923,       0.89254,       0.74291,       0.94386,       0.75688,       0.78041,       0.82764
(65, 181),     0.89606,       0.90951,       0.71875,       0.89309,       0.75487,       0.78756,       0.82664
(17, 66),     0.89606,       0.93504,       0.72209,       0.88343,       0.73369,       0.78791,       0.82637
(193, 405),     0.87101,       0.91869,       0.7837,       0.85368,       0.78379,       0.7407,       0.82526
(66, 87),     0.88141,       0.93435,       0.70979,       0.9001,       0.75758,       0.76785,       0.82518
(181, 193),     0.89243,       0.89257,       0.7452,       0.91884,       0.77789,       0.72317,       0.82502
(37, 88),     0.8766,       0.89735,       0.70486,       0.95958,       0.75954,       0.7452,       0.82386
(321, 327),     0.88964,       0.90604,       0.75146,       0.96304,       0.72984,       0.70282,       0.82381
(95, 185),     0.89888,       0.92362,       0.72764,       0.95848,       0.73,       0.70156,       0.82336
(0, 178),     0.87345,       0.9129,       0.6984,       0.95983,       0.74752,       0.74697,       0.82318
(66, 178),     0.8773,       0.92119,       0.70674,       0.9039,       0.758,       0.7667,       0.82231
(0, 375),     0.89915,       0.95166,       0.67268,       0.93406,       0.7653,       0.71064,       0.82225
(312, 317),     0.86831,       0.95206,       0.6893,       0.93551,       0.73484,       0.75147,       0.82192
(270, 402),     0.86165,       0.92639,       0.70344,       0.94948,       0.74198,       0.74816,       0.82185
(98, 321),     0.92947,       0.93186,       0.72157,       0.93466,       0.74456,       0.6681,       0.8217
(13, 14),     0.87034,       0.9542,       0.68671,       0.93743,       0.72928,       0.74984,       0.8213
(311, 375),     0.90701,       0.95867,       0.66468,       0.94064,       0.74004,       0.71672,       0.82129
(14, 269),     0.86672,       0.91463,       0.69003,       0.94983,       0.75279,       0.75108,       0.82085
(87, 107),     0.8834,       0.92834,       0.67715,       0.92179,       0.76672,       0.745,       0.8204
(405, 417),     0.87453,       0.90195,       0.74117,       0.88699,       0.78604,       0.73125,       0.82032
(39, 402),     0.91062,       0.95671,       0.68594,       0.90997,       0.7688,       0.68436,       0.8194
(39, 146),     0.89388,       0.8708,       0.70436,       0.94584,       0.77637,       0.72296,       0.81904
(311, 402),     0.86292,       0.94773,       0.69019,       0.93075,       0.73021,       0.75159,       0.8189
(314, 417),     0.88804,       0.88917,       0.73223,       0.90512,       0.77534,       0.72299,       0.81882
(0, 318),     0.90274,       0.95881,       0.65366,       0.94062,       0.75033,       0.70659,       0.81879
(84, 270),     0.88087,       0.85135,       0.71686,       0.93262,       0.78681,       0.74383,       0.81872
(14, 107),     0.8825,       0.93582,       0.67997,       0.90905,       0.76174,       0.74129,       0.8184
(17, 310),     0.86876,       0.89167,       0.68631,       0.94774,       0.75764,       0.75456,       0.81778
(82, 87),     0.86724,       0.95296,       0.68413,       0.93762,       0.718,       0.74631,       0.81771
(55, 87),     0.88779,       0.92939,       0.66221,       0.92999,       0.76115,       0.73545,       0.81766
(40, 95),     0.88189,       0.89377,       0.7203,       0.95444,       0.74904,       0.70639,       0.81764
(91, 267),     0.89994,       0.84442,       0.70766,       0.94052,       0.77472,       0.738,       0.81754
(14, 66),     0.87894,       0.9378,       0.7038,       0.88221,       0.74244,       0.75861,       0.8173
(14, 55),     0.8875,       0.93638,       0.6676,       0.9163,       0.76214,       0.73314,       0.81718
(98, 317),     0.90155,       0.94078,       0.70368,       0.9623,       0.69491,       0.69849,       0.81695
(105, 181),     0.87364,       0.93236,       0.74887,       0.85468,       0.69993,       0.79082,       0.81672
(82, 321),     0.92692,       0.95993,       0.66992,       0.93067,       0.74104,       0.67035,       0.81647
(65, 87),     0.88339,       0.92754,       0.68747,       0.89598,       0.7492,       0.75331,       0.81615
(52, 181),     0.88259,       0.91622,       0.73298,       0.8566,       0.71295,       0.79277,       0.81569
(80, 146),     0.89605,       0.91938,       0.67864,       0.95783,       0.7256,       0.71434,       0.81531
(55, 314),     0.90606,       0.93507,       0.66478,       0.90258,       0.72873,       0.75461,       0.81531
(17, 65),     0.89766,       0.92609,       0.69387,       0.87536,       0.72014,       0.77658,       0.81495
(181, 191),     0.89491,       0.91227,       0.695,       0.94004,       0.72294,       0.72371,       0.81481
(81, 178),     0.86515,       0.94955,       0.68742,       0.93894,       0.70514,       0.74153,       0.81462
(181, 311),     0.89906,       0.86736,       0.67889,       0.95395,       0.76611,       0.72121,       0.81443
(80, 314),     0.89021,       0.93331,       0.71265,       0.86119,       0.76362,       0.72469,       0.81428
(14, 98),     0.88709,       0.93903,       0.70936,       0.96279,       0.67588,       0.711,       0.81419
(84, 105),     0.87226,       0.94125,       0.74107,       0.84771,       0.69061,       0.78937,       0.81371
(55, 317),     0.88179,       0.94025,       0.66718,       0.90051,       0.75637,       0.73556,       0.81361
(52, 84),     0.88206,       0.92764,       0.72608,       0.84949,       0.70195,       0.79122,       0.81307
(107, 178),     0.87534,       0.91192,       0.66744,       0.92218,       0.75941,       0.73881,       0.81252
(66, 91),     0.8755,       0.89162,       0.72137,       0.87862,       0.73322,       0.7743,       0.81244
(107, 314),     0.90252,       0.93555,       0.66914,       0.89512,       0.71654,       0.75552,       0.8124
(321, 415),     0.82441,       0.91528,       0.72094,       0.90129,       0.73308,       0.77922,       0.81237
(105, 178),     0.86296,       0.93269,       0.7213,       0.8693,       0.71672,       0.76978,       0.81212
(17, 417),     0.89009,       0.87237,       0.72686,       0.90561,       0.76721,       0.70973,       0.81198
(78, 146),     0.89836,       0.89403,       0.69518,       0.94738,       0.71103,       0.72486,       0.81181
(107, 317),     0.87589,       0.94001,       0.67454,       0.89322,       0.74615,       0.73821,       0.81134
(65, 178),     0.87884,       0.91321,       0.67838,       0.90172,       0.74618,       0.74884,       0.81119
(87, 105),     0.86209,       0.94145,       0.71891,       0.86123,       0.70989,       0.76987,       0.81057
(270, 324),     0.89267,       0.93772,       0.64652,       0.94549,       0.72964,       0.71089,       0.81049
(178, 267),     0.87208,       0.88032,       0.68576,       0.95276,       0.74483,       0.72685,       0.81043
(181, 327),     0.86002,       0.8672,       0.73988,       0.98878,       0.69912,       0.70695,       0.81032
(310, 318),     0.85204,       0.94227,       0.69111,       0.91695,       0.70616,       0.74853,       0.80951
(40, 405),     0.92829,       0.92903,       0.72249,       0.85588,       0.76703,       0.65154,       0.80904
(55, 178),     0.87875,       0.91264,       0.64924,       0.93196,       0.75086,       0.72703,       0.80841
(52, 87),     0.87303,       0.9307,       0.70315,       0.86313,       0.7161,       0.76272,       0.80814
(84, 417),     0.89303,       0.85928,       0.72357,       0.90345,       0.76653,       0.70279,       0.80811
(52, 178),     0.87293,       0.92001,       0.70023,       0.87294,       0.72113,       0.76076,       0.808
(193, 317),     0.87085,       0.90949,       0.7202,       0.86296,       0.79154,       0.6926,       0.80794
(80, 88),     0.86069,       0.93907,       0.68689,       0.93884,       0.69176,       0.72862,       0.80765
(98, 402),     0.90832,       0.93942,       0.6843,       0.95256,       0.69363,       0.66551,       0.80729
(87, 98),     0.86925,       0.93476,       0.70831,       0.96006,       0.65093,       0.71953,       0.80714
(13, 91),     0.8959,       0.87006,       0.67726,       0.95817,       0.74393,       0.69493,       0.80671
(14, 65),     0.88051,       0.93012,       0.67964,       0.87488,       0.73052,       0.74193,       0.80627
(91, 98),     0.84782,       0.88488,       0.75157,       0.97459,       0.66005,       0.71494,       0.80564
(53, 181),     0.86053,       0.9283,       0.74288,       0.8331,       0.67343,       0.79437,       0.80544
(40, 87),     0.90034,       0.92878,       0.66991,       0.93239,       0.73748,       0.66342,       0.80539
(37, 318),     0.89506,       0.96115,       0.63907,       0.92625,       0.73684,       0.67342,       0.8053
(53, 178),     0.85761,       0.93097,       0.71507,       0.85969,       0.69711,       0.76906,       0.80492
