Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(88, 415),     -0.29501,       -0.29501
(105, 308),     -0.29409,       -0.29409
(156, 415),     -0.29391,       -0.29391
(300, 362),     -0.29313,       -0.29313
(88, 317),     -0.29303,       -0.29303
(317, 402),     -0.2924,       -0.2924
(153, 156),     -0.29223,       -0.29223
(98, 144),     -0.29215,       -0.29215
(317, 324),     -0.29193,       -0.29193
(146, 287),     -0.29139,       -0.29139
(163, 292),     -0.29038,       -0.29038
(91, 402),     -0.29011,       -0.29011
(181, 265),     -0.29005,       -0.29005
(124, 270),     -0.29,       -0.29
(7, 291),     -0.28893,       -0.28893
(159, 160),     -0.28875,       -0.28875
(53, 133),     -0.28854,       -0.28854
(98, 246),     -0.2876,       -0.2876
(37, 310),     -0.28699,       -0.28699
(324, 402),     -0.28589,       -0.28589
(95, 317),     -0.28514,       -0.28514
(317, 318),     -0.28457,       -0.28457
(0, 310),     -0.28407,       -0.28407
(144, 409),     -0.28303,       -0.28303
(46, 154),     -0.28091,       -0.28091
(63, 193),     -0.28078,       -0.28078
(14, 308),     -0.28076,       -0.28076
(161, 327),     -0.28028,       -0.28028
(87, 191),     -0.27981,       -0.27981
(287, 417),     -0.27927,       -0.27927
(91, 287),     -0.27915,       -0.27915
(383, 390),     -0.27857,       -0.27857
(91, 146),     -0.27777,       -0.27777
(158, 246),     -0.27715,       -0.27715
(46, 155),     -0.27665,       -0.27665
(156, 163),     -0.27664,       -0.27664
(191, 287),     -0.27635,       -0.27635
(87, 324),     -0.27597,       -0.27597
(154, 156),     -0.27555,       -0.27555
(163, 308),     -0.27483,       -0.27483
(70, 105),     -0.27429,       -0.27429
(178, 402),     -0.27368,       -0.27368
(98, 269),     -0.27202,       -0.27202
(88, 402),     -0.27155,       -0.27155
(163, 306),     -0.2706,       -0.2706
(14, 95),     -0.26944,       -0.26944
(7, 270),     -0.26906,       -0.26906
(87, 95),     -0.26897,       -0.26897
(353, 373),     -0.26681,       -0.26681
(353, 380),     -0.26614,       -0.26614
(300, 385),     -0.26416,       -0.26416
(191, 402),     -0.26334,       -0.26334
(158, 276),     -0.26326,       -0.26326
(95, 310),     -0.26198,       -0.26198
(33, 62),     -0.26116,       -0.26116
(87, 308),     -0.26076,       -0.26076
