Comparing the following files: 
krithika_front_s4_v1/groups,  krithika_low_s4_v1/groups,  krithika_threequarter_s4_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s4_v1groups_vs_krithika_low_s4_v1groups,  krithika_front_s4_v1groups_vs_krithika_threequarter_s4_v1groups,  krithika_low_s4_v1groups_vs_krithika_threequarter_s4_v1groups,  average
(269, 317),     0.86249,       0.85591,       0.75881,       0.82574
(37, 87),     0.8691,       0.85004,       0.75774,       0.82563
(95, 312),     0.86209,       0.85092,       0.76371,       0.82557
(17, 312),     0.87209,       0.84631,       0.75825,       0.82555
(98, 324),     0.88257,       0.83753,       0.7565,       0.82553
(39, 91),     0.86142,       0.86399,       0.751,       0.82547
(13, 17),     0.87114,       0.85001,       0.75519,       0.82545
(98, 321),     0.84386,       0.87838,       0.75386,       0.82537
(146, 310),     0.77697,       0.9061,       0.79233,       0.82513
(39, 146),     0.85902,       0.86982,       0.7457,       0.82485
(82, 181),     0.87281,       0.85833,       0.74306,       0.82473
(82, 84),     0.87149,       0.84738,       0.75412,       0.82433
(321, 409),     0.83559,       0.86129,       0.77564,       0.82417
(84, 312),     0.87076,       0.84736,       0.75372,       0.82395
(310, 314),     0.86135,       0.8308,       0.77955,       0.8239
(0, 178),     0.87484,       0.83911,       0.75584,       0.82326
(13, 84),     0.87206,       0.84707,       0.75064,       0.82326
(80, 146),     0.86747,       0.8754,       0.72679,       0.82322
(13, 181),     0.86939,       0.85999,       0.74029,       0.82322
(14, 269),     0.85752,       0.85454,       0.7573,       0.82312
(0, 375),     0.83648,       0.90267,       0.73011,       0.82309
(146, 312),     0.82242,       0.89871,       0.74739,       0.82284
(87, 267),     0.86631,       0.84577,       0.75571,       0.8226
(81, 88),     0.88076,       0.84069,       0.7458,       0.82242
(0, 14),     0.8659,       0.84877,       0.75255,       0.82241
(91, 191),     0.88548,       0.81328,       0.7682,       0.82232
(84, 310),     0.85753,       0.83386,       0.77503,       0.82214
(80, 181),     0.86597,       0.83354,       0.76597,       0.82183
(98, 178),     0.87897,       0.7843,       0.80206,       0.82178
(0, 87),     0.86901,       0.84219,       0.75363,       0.82161
(14, 267),     0.86307,       0.84661,       0.75429,       0.82132
(78, 269),     0.77459,       0.91077,       0.77855,       0.8213
(146, 269),     0.80594,       0.92056,       0.73735,       0.82128
(14, 327),     0.87814,       0.78117,       0.80366,       0.82099
(80, 95),     0.87374,       0.83776,       0.75047,       0.82066
(308, 415),     0.78516,       0.85706,       0.81975,       0.82066
(0, 91),     0.8646,       0.85722,       0.73934,       0.82039
(292, 310),     0.79272,       0.87977,       0.78844,       0.82031
(87, 327),     0.88185,       0.77691,       0.80212,       0.82029
(37, 91),     0.86646,       0.85138,       0.74216,       0.82
(37, 321),     0.83025,       0.9076,       0.72179,       0.81988
(88, 185),     0.85306,       0.8593,       0.74617,       0.81951
(82, 321),     0.85452,       0.8984,       0.70559,       0.8195
(146, 270),     0.7863,       0.91822,       0.75364,       0.81939
(178, 327),     0.88468,       0.77417,       0.79896,       0.81927
(17, 80),     0.83779,       0.84705,       0.77135,       0.81873
(81, 146),     0.85126,       0.87707,       0.72776,       0.8187
(88, 98),     0.88083,       0.77131,       0.80274,       0.81829
(82, 178),     0.87672,       0.83874,       0.73926,       0.81824
(62, 269),     0.76304,       0.91556,       0.77555,       0.81805
(91, 267),     0.85008,       0.86958,       0.73446,       0.81804
(82, 402),     0.87019,       0.86904,       0.7137,       0.81764
(91, 269),     0.8292,       0.897,       0.72583,       0.81734
(0, 146),     0.84735,       0.86542,       0.73423,       0.81567
(146, 267),     0.82766,       0.88609,       0.73301,       0.81559
(13, 178),     0.87498,       0.82975,       0.74201,       0.81558
(17, 310),     0.85151,       0.82316,       0.77196,       0.81554
(81, 95),     0.86102,       0.83629,       0.74887,       0.81539
(306, 310),     0.78333,       0.87779,       0.78441,       0.81518
(91, 270),     0.81388,       0.91062,       0.72042,       0.81497
(310, 415),     0.80569,       0.88262,       0.75647,       0.81493
(37, 146),     0.85358,       0.85466,       0.73519,       0.81448
(80, 84),     0.84731,       0.82019,       0.77436,       0.81395
(291, 409),     0.85401,       0.84189,       0.74468,       0.81353
(0, 405),     0.83509,       0.86643,       0.7389,       0.81347
(40, 61),     0.85164,       0.86286,       0.72483,       0.81311
(13, 318),     0.82589,       0.90445,       0.70789,       0.81274
(39, 78),     0.84677,       0.84662,       0.74306,       0.81215
(327, 405),     0.83786,       0.81363,       0.7849,       0.81213
(39, 62),     0.84513,       0.85061,       0.74062,       0.81212
(88, 327),     0.8749,       0.76835,       0.79258,       0.81194
(312, 324),     0.81135,       0.89842,       0.7255,       0.81176
(76, 269),     0.75065,       0.92042,       0.76374,       0.8116
(91, 98),     0.86082,       0.78298,       0.78882,       0.81087
(267, 405),     0.83687,       0.85258,       0.74312,       0.81086
(13, 88),     0.86237,       0.82727,       0.74138,       0.81034
(82, 88),     0.86229,       0.82936,       0.73909,       0.81025
(82, 146),     0.82909,       0.87408,       0.72618,       0.80978
(98, 405),     0.81079,       0.84671,       0.76834,       0.80861
(13, 146),     0.81686,       0.87989,       0.72862,       0.80846
(76, 311),     0.77937,       0.89139,       0.75334,       0.80803
(185, 269),     0.73793,       0.91473,       0.7706,       0.80775
(269, 405),     0.82373,       0.85054,       0.74508,       0.80645
(37, 405),     0.8154,       0.87814,       0.72551,       0.80635
(40, 269),     0.76458,       0.86948,       0.7847,       0.80625
(62, 311),     0.78812,       0.88133,       0.74894,       0.80613
(78, 311),     0.79442,       0.87989,       0.74342,       0.80591
(40, 402),     0.89708,       0.78592,       0.73392,       0.80564
(13, 311),     0.87412,       0.79574,       0.74691,       0.80559
(61, 311),     0.76693,       0.89811,       0.75065,       0.80523
(191, 312),     0.79708,       0.86759,       0.75097,       0.80521
(39, 76),     0.83345,       0.85207,       0.72993,       0.80515
(0, 181),     0.84391,       0.83588,       0.73454,       0.80478
(81, 317),     0.90519,       0.75149,       0.75761,       0.80476
(82, 95),     0.8439,       0.82457,       0.74547,       0.80465
(13, 95),     0.84337,       0.82407,       0.74593,       0.80446
(39, 181),     0.82522,       0.8421,       0.74318,       0.8035
(37, 181),     0.84113,       0.83217,       0.73683,       0.80338
(310, 402),     0.82237,       0.83172,       0.75577,       0.80329
(61, 269),     0.7382,       0.92011,       0.75072,       0.80301
(91, 185),     0.81691,       0.83817,       0.75311,       0.80273
(37, 375),     0.81095,       0.89317,       0.70402,       0.80271
(291, 310),     0.76807,       0.87489,       0.76485,       0.8026
(39, 324),     0.85716,       0.84354,       0.70678,       0.80249
(185, 312),     0.76922,       0.88733,       0.74923,       0.80193
(181, 415),     0.79131,       0.85242,       0.76026,       0.80133
(0, 314),     0.8321,       0.83245,       0.73698,       0.80051
