Comparing the following files: 
hadleigh_front_s2_v2/,  hadleigh_low_s2_v2/,  hadleigh_right_threequarter_s2_v2/,  hadleigh_left_threequarter_s2_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s2_v2_vs_hadleigh_low_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_right_threequarter_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  average
(265, 375),     0.92474,       0.94548,       0.91826,       0.89631,       0.91142,       0.87551,       0.91195
(270, 383),     0.92846,       0.95896,       0.90816,       0.88751,       0.90008,       0.88809,       0.91188
(76, 291),     0.93086,       0.94109,       0.87617,       0.93883,       0.91727,       0.86685,       0.91185
(249, 409),     0.93218,       0.94033,       0.90238,       0.93985,       0.88724,       0.86891,       0.91181
(13, 311),     0.95173,       0.91527,       0.91596,       0.90769,       0.94396,       0.83574,       0.91173
(39, 415),     0.95951,       0.90833,       0.91834,       0.89984,       0.94986,       0.83405,       0.91165
(178, 402),     0.93773,       0.94194,       0.88977,       0.9275,       0.88776,       0.88386,       0.91143
(310, 390),     0.92955,       0.95033,       0.88157,       0.94365,       0.89245,       0.87035,       0.91132
(57, 292),     0.94083,       0.9096,       0.91668,       0.92279,       0.91836,       0.85927,       0.91126
(61, 306),     0.92615,       0.94169,       0.87835,       0.93586,       0.91579,       0.86907,       0.91115
(310, 466),     0.93082,       0.95643,       0.87605,       0.94303,       0.89133,       0.8689,       0.91109
(62, 415),     0.92494,       0.93837,       0.88964,       0.91786,       0.91271,       0.88246,       0.911
(37, 409),     0.93855,       0.89002,       0.91736,       0.93102,       0.93524,       0.85373,       0.91099
(40, 270),     0.93816,       0.92809,       0.88869,       0.91434,       0.91133,       0.88455,       0.91086
(292, 314),     0.90946,       0.92915,       0.89219,       0.94433,       0.89849,       0.89153,       0.91086
(82, 310),     0.95081,       0.92928,       0.9053,       0.91479,       0.93414,       0.83021,       0.91075
(76, 306),     0.92326,       0.94165,       0.8767,       0.93736,       0.91589,       0.86876,       0.9106
(78, 415),     0.92515,       0.93788,       0.88646,       0.92149,       0.90976,       0.8826,       0.91056
(191, 308),     0.91247,       0.95355,       0.87704,       0.93391,       0.91586,       0.8691,       0.91032
(308, 321),     0.91534,       0.93886,       0.88735,       0.89863,       0.91684,       0.90404,       0.91018
(81, 306),     0.96377,       0.90944,       0.92002,       0.91093,       0.93531,       0.82102,       0.91008
(78, 409),     0.92635,       0.94388,       0.88209,       0.92568,       0.89728,       0.88488,       0.91003
(40, 415),     0.95925,       0.9093,       0.91085,       0.89844,       0.94927,       0.83241,       0.90992
(249, 270),     0.91127,       0.94927,       0.90306,       0.93763,       0.86896,       0.88756,       0.90963
(61, 415),     0.92499,       0.94076,       0.89391,       0.90563,       0.90699,       0.88525,       0.90959
(62, 409),     0.92411,       0.94359,       0.88367,       0.9214,       0.89905,       0.88555,       0.90956
(14, 402),     0.94494,       0.91665,       0.90037,       0.90745,       0.89142,       0.89625,       0.90951
(81, 308),     0.95965,       0.91677,       0.91604,       0.90727,       0.9374,       0.81936,       0.90941
(57, 308),     0.93776,       0.90655,       0.9154,       0.92076,       0.91653,       0.85928,       0.90938
(300, 415),     0.93006,       0.96455,       0.8981,       0.90837,       0.89241,       0.86266,       0.90936
(81, 292),     0.9612,       0.91243,       0.91772,       0.90655,       0.93711,       0.82031,       0.90922
(57, 415),     0.95222,       0.91207,       0.91265,       0.88406,       0.9046,       0.88935,       0.90916
(62, 291),     0.92532,       0.93986,       0.87129,       0.93967,       0.91456,       0.86394,       0.90911
(310, 353),     0.91975,       0.96597,       0.89528,       0.89269,       0.89789,       0.88249,       0.90901
(306, 321),     0.90145,       0.94497,       0.89382,       0.91012,       0.89092,       0.9111,       0.90873
(300, 409),     0.9269,       0.95756,       0.90954,       0.90477,       0.89012,       0.86333,       0.9087
(409, 466),     0.93031,       0.94507,       0.89431,       0.93871,       0.88002,       0.86321,       0.9086
(76, 409),     0.92137,       0.94422,       0.88467,       0.9161,       0.89531,       0.88655,       0.90804
(191, 311),     0.9238,       0.94979,       0.892,       0.89415,       0.88393,       0.90437,       0.90801
(263, 270),     0.90602,       0.95382,       0.90171,       0.93125,       0.8629,       0.89054,       0.90771
(78, 291),     0.92295,       0.93992,       0.86751,       0.94096,       0.91242,       0.86252,       0.90771
(310, 388),     0.93299,       0.95467,       0.86546,       0.94359,       0.89163,       0.85698,       0.90755
(388, 415),     0.94037,       0.95295,       0.87036,       0.94773,       0.88472,       0.84916,       0.90755
(62, 306),     0.91666,       0.94044,       0.87151,       0.93752,       0.91272,       0.86587,       0.90745
(270, 466),     0.9139,       0.95102,       0.89418,       0.93826,       0.86733,       0.87845,       0.90719
(270, 390),     0.91269,       0.9441,       0.90102,       0.93902,       0.86784,       0.87848,       0.90719
(40, 318),     0.94713,       0.93523,       0.88122,       0.93161,       0.9214,       0.82466,       0.90687
(82, 415),     0.95668,       0.90628,       0.91718,       0.91393,       0.93621,       0.81072,       0.90683
(310, 373),     0.93084,       0.94232,       0.87701,       0.94115,       0.89438,       0.85518,       0.90681
(37, 270),     0.93722,       0.88488,       0.91485,       0.92003,       0.93248,       0.8503,       0.90663
(306, 314),     0.90997,       0.92144,       0.89267,       0.93347,       0.89687,       0.88516,       0.9066
(88, 318),     0.93139,       0.93601,       0.86848,       0.93573,       0.89918,       0.86732,       0.90635
(61, 292),     0.91627,       0.93908,       0.8753,       0.93072,       0.9108,       0.86534,       0.90625
(81, 291),     0.96524,       0.90127,       0.9196,       0.91005,       0.93015,       0.81003,       0.90606
